date,rank,song,artist,last-week,peak-rank,weeks-on-board,song_clean,artist_clean
2021-02-13,23,You Broke Me First.,Tate McRae,27.0,23,24,you broke me first,tate mcrae
2021-02-13,24,Laugh Now Cry Later,Drake Featuring Lil Durk,22.0,2,25,laugh now cry later,drake featuring lil durk
2021-02-13,25,My Ex's Best Friend,Machine Gun Kelly X blackbear,34.0,25,25,my ex's best friend,machine gun kelly x blackbear
2021-02-13,26,Wasted On You,Morgan Wallen,31.0,9,4,wasted on you,morgan wallen
2021-02-13,27,You're Mines Still,Yung Bleu Featuring Drake,32.0,27,9,you're mines still,yung bleu featuring drake
2021-02-13,28,Anyone,Justin Bieber,26.0,6,5,anyone,justin bieber
2021-02-13,29,Willow,Taylor Swift,28.0,1,8,willow,taylor swift
2021-02-13,30,On Me,Lil Baby,29.0,29,9,on me,lil baby
2021-02-13,31,Good Time,Niko Moon,37.0,31,18,good time,niko moon
2021-02-13,32,Sand In My Boots,Morgan Wallen,38.0,32,4,sand in my boots,morgan wallen
2021-02-13,33,Throat Baby (Go Baby),BRS Kash,24.0,24,16,throat baby,brs kash
2021-02-13,34,Before You Go,Lewis Capaldi,33.0,9,50,before you go,lewis capaldi
2021-02-13,35,7 Summers,Morgan Wallen,23.0,6,24,7 summers,morgan wallen
2021-02-13,36,Starting Over,Chris Stapleton,36.0,25,23,starting over,chris stapleton
2021-02-13,37,Back In Blood,Pooh Shiesty Featuring Lil Durk,40.0,37,5,back in blood,pooh shiesty featuring lil durk
2021-02-13,38,More Than My Hometown,Morgan Wallen,30.0,15,32,more than my hometown,morgan wallen
2021-02-13,39,Finesse Out The Gang Way,Lil Durk Featuring Lil Baby,0.0,39,1,finesse out the gang way,lil durk featuring lil baby
2021-02-13,40,Hole In The Bottle,Kelsea Ballerini,42.0,40,16,hole in the bottle,kelsea ballerini
2021-02-13,41,Kings & Queens,Ava Max,35.0,13,26,kings and queens,ava max
2021-02-13,42,Best Friend,Saweetie Featuring Doja Cat,45.0,39,4,best friend,saweetie featuring doja cat
2021-02-13,43,Cry Baby,Megan Thee Stallion Featuring DaBaby,54.0,43,9,cry baby,megan thee stallion featuring dababy
2021-02-13,44,Rockstar,DaBaby Featuring Roddy Ricch,41.0,1,41,rockstar,dababy featuring roddy ricch
2021-02-13,45,Afterglow,Ed Sheeran,39.0,29,7,afterglow,ed sheeran
2021-02-13,46,Dynamite,BTS,46.0,1,24,dynamite,bts
2021-02-13,47,Happy Does,Kenny Chesney,50.0,47,12,happy does,kenny chesney
2021-02-13,48,Somebody's Problem,Morgan Wallen,43.0,25,8,somebody's problem,morgan wallen
2021-02-13,49,Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",44.0,2,51,whats poppin,jack harlow featuring dababy tory lanez and lil wayne
2021-02-13,50,Put Your Records On,Ritt Momney,55.0,50,16,put your records on,ritt momney
2021-02-13,51,Damage,H.E.R.,52.0,51,8,damage,h e r
2021-02-13,52,Without You,The Kid LAROI,47.0,47,9,without you,the kid laroi
2021-02-13,53,Should've Ducked,Lil Durk Featuring Pooh Shiesty,0.0,53,1,should've ducked,lil durk featuring pooh shiesty
2021-02-13,54,Just The Way,Parmalee x Blanco Brown,56.0,54,6,just the way,parmalee x blanco brown
2021-02-13,55,Beers And Sunshine,Darius Rucker,53.0,53,8,beers and sunshine,darius rucker
2021-02-13,56,Down To One,Luke Bryan,58.0,56,6,down to one,luke bryan
2021-02-13,57,What's Your Country Song,Thomas Rhett,59.0,57,7,what's your country song,thomas rhett
2021-02-13,58,Beat Box,SpotemGottem Featuring Pooh Shiesty Or DaBaby,60.0,58,3,beat box,spotemgottem featuring pooh shiesty or dababy
2021-02-13,59,Diamonds,Sam Smith,49.0,39,20,diamonds,sam smith
2021-02-13,60,The Good Ones,Gabby Barrett,64.0,60,6,the good ones,gabby barrett
2021-02-13,61,Golden,Harry Styles,65.0,61,15,golden,harry styles
2021-02-13,62,Buss It,Erica Banks,67.0,62,4,buss it,erica banks
2021-02-13,63,Goosebumps,Travis Scott & HVME,73.0,63,3,goosebumps,travis scott and hvme
2021-02-13,64,Monsters,All Time Low Featuring Demi Lovato & blackbear ,69.0,64,6,monsters,all time low featuring demi lovato and blackbear
2021-02-13,65,Long Live,Florida Georgia Line,68.0,65,5,long live,florida georgia line
2021-02-13,66,Tyler Herro,Jack Harlow,63.0,34,15,tyler herro,jack harlow
2021-02-13,67,Cover Me Up,Morgan Wallen,74.0,52,5,cover me up,morgan wallen
2021-02-13,68,Forever After All,Luke Combs,66.0,2,15,forever after all,luke combs
2021-02-13,69,Back To The Streets,Saweetie Featuring Jhene Aiko,61.0,58,11,back to the streets,saweetie featuring jhene aiko
2021-02-13,70,Still Trappin',Lil Durk & King Von,84.0,53,6,still trappin',lil durk and king von
2021-02-13,71,Gravity,"Brent Faiyaz & DJ Dahi Featuring Tyler, The Creator",0.0,71,1,gravity,brent faiyaz and dj dahi featuring tyler the creator
2021-02-13,72,Bichota,Karol G,75.0,72,10,bichota,karol g
2021-02-13,73,Bad Boy,Juice WRLD & Young Thug,57.0,22,3,bad boy,juice wrld and young thug
2021-02-13,74,Baila Conmigo,Selena Gomez With Rauw Alejandro,0.0,74,1,baila conmigo,selena gomez with rauw alejandro
2021-02-13,75,Lady,Brett Young,86.0,75,4,lady,brett young
2021-02-13,76,Still Goin Down,Morgan Wallen,72.0,45,7,still goin down,morgan wallen
2021-02-13,77,865,Morgan Wallen,77.0,46,4,865,morgan wallen
2021-02-13,78,So Done,The Kid LAROI,79.0,59,13,so done,the kid laroi
2021-02-13,79,Warning,Morgan Wallen,76.0,42,4,warning,morgan wallen
2021-02-13,80,Holiday,Lil Nas X,71.0,37,12,holiday,lil nas x
2021-02-13,81,Hell Of A View,Eric Church,90.0,81,4,hell of a view,eric church
2021-02-13,82,Girl Like Me,Black Eyed Peas X Shakira,85.0,82,4,girl like me,black eyed peas x shakira
2021-02-13,83,Momma's House,Dustin Lynch,87.0,83,4,momma's house,dustin lynch
2021-02-13,84,"Big, Big Plans",Chris Lane,82.0,42,18,big big plans,chris lane
2021-02-13,85,Monster,Shawn Mendes & Justin Bieber,70.0,8,11,monster,shawn mendes and justin bieber
2021-02-13,86,Heat Waves,Glass Animals,91.0,86,3,heat waves,glass animals
2021-02-13,87,Stay Down,"Lil Durk, 6LACK & Young Thug",0.0,73,4,stay down,lil durk 6lack and young thug
2021-02-13,88,Somebody Like That,Tenille Arts,89.0,88,3,somebody like that,tenille arts
2021-02-13,89,Skin,Sabrina Carpenter,48.0,48,2,skin,sabrina carpenter
2021-02-13,90,Moonwalking In Calabasas,DDG,88.0,82,6,moonwalking in calabasas,ddg
2021-02-13,91,Kanye Krazy,Lil Durk,0.0,91,1,kanye krazy,lil durk
2021-02-13,92,Pick Up Your Feelings,Jazmine Sullivan,0.0,92,2,pick up your feelings,jazmine sullivan
2021-02-13,93,You Got It,VEDO,95.0,87,6,you got it,vedo
2021-02-13,94,One Too Many,Keith Urban Duet With P!nk,96.0,62,8,one too many,keith urban duet with p nk
2021-02-13,95,Backdoor,Lil Durk,0.0,62,4,backdoor,lil durk
2021-02-13,96,Fake Woke,Tom MacDonald,0.0,96,1,fake woke,tom macdonald
2021-02-13,97,Prisoner,Miley Cyrus Featuring Dua Lipa,81.0,54,11,prisoner,miley cyrus featuring dua lipa
2021-02-13,98,Dangerous,Morgan Wallen,0.0,62,3,dangerous,morgan wallen
2021-02-13,99,Almost Maybes,Jordan Davis,0.0,95,2,almost maybes,jordan davis
2021-02-13,100,Mr. Right Now,21 Savage & Metro Boomin Featuring Drake,80.0,10,18,mr right now,21 savage and metro boomin featuring drake
2021-02-06,1,Drivers License,Olivia Rodrigo,1.0,1,3,drivers license,olivia rodrigo
2021-02-06,2,Mood,24kGoldn Featuring iann dior,3.0,1,25,mood,24kgoldn featuring iann dior
2021-02-06,3,Blinding Lights,The Weeknd,4.0,1,60,blinding lights,the weeknd
2021-02-06,4,34+35,Ariana Grande,2.0,2,13,34 35,ariana grande
2021-02-06,5,Levitating,Dua Lipa Featuring DaBaby,6.0,5,17,levitating,dua lipa featuring dababy
2021-02-06,6,Go Crazy,Chris Brown & Young Thug,7.0,5,38,go crazy,chris brown and young thug
2021-02-06,7,Positions,Ariana Grande,5.0,1,14,positions,ariana grande
2021-02-06,8,Holy,Justin Bieber Featuring Chance The Rapper,8.0,3,19,holy,justin bieber featuring chance the rapper
2021-02-06,9,Good Days,SZA,10.0,9,5,good days,sza
2021-02-06,10,Bang!,AJR,9.0,8,30,bang,ajr
2021-02-06,11,For The Night,Pop Smoke Featuring Lil Baby & DaBaby,11.0,6,30,for the night,pop smoke featuring lil baby and dababy
2021-02-06,12,Therefore I Am,Billie Eilish,13.0,2,12,therefore i am,billie eilish
2021-02-06,13,Lonely,Justin Bieber & benny blanco,14.0,12,15,lonely,justin bieber and benny blanco
2021-02-06,14,Save Your Tears,The Weeknd,20.0,14,7,save your tears,the weeknd
2021-02-06,15,Better Together,Luke Combs,15.0,15,17,better together,luke combs
2021-02-06,16,Whoopty,CJ,19.0,16,12,whoopty,cj
2021-02-06,17,I Hope,Gabby Barrett Featuring Charlie Puth,12.0,3,57,i hope,gabby barrett featuring charlie puth
2021-02-06,18,Body,Megan Thee Stallion,16.0,12,10,body,megan thee stallion
2021-02-06,19,What You Know Bout Love,Pop Smoke,23.0,19,21,what you know bout love,pop smoke
2021-02-06,20,Dakiti,Bad Bunny & Jhay Cortez,18.0,5,13,dakiti,bad bunny and jhay cortez
2021-02-06,21,Lemonade,Internet Money & Gunna Featuring Don Toliver & NAV,21.0,6,24,lemonade,internet money and gunna featuring don toliver and nav
2021-02-06,22,Laugh Now Cry Later,Drake Featuring Lil Durk,17.0,2,24,laugh now cry later,drake featuring lil durk
2021-02-06,23,7 Summers,Morgan Wallen,25.0,6,23,7 summers,morgan wallen
2021-02-06,24,Throat Baby (Go Baby),BRS Kash,54.0,24,15,throat baby,brs kash
2021-02-06,25,Streets,Doja Cat,39.0,25,3,streets,doja cat
2021-02-06,26,Anyone,Justin Bieber,26.0,6,4,anyone,justin bieber
2021-02-06,27,You Broke Me First.,Tate McRae,31.0,27,23,you broke me first,tate mcrae
2021-02-06,28,Willow,Taylor Swift,28.0,1,7,willow,taylor swift
2021-02-06,29,On Me,Lil Baby,33.0,29,8,on me,lil baby
2021-02-06,30,More Than My Hometown,Morgan Wallen,27.0,15,31,more than my hometown,morgan wallen
2021-02-06,31,Wasted On You,Morgan Wallen,24.0,9,3,wasted on you,morgan wallen
2021-02-06,32,You're Mines Still,Yung Bleu Featuring Drake,32.0,32,8,you're mines still,yung bleu featuring drake
2021-02-06,33,Before You Go,Lewis Capaldi,30.0,9,49,before you go,lewis capaldi
2021-02-06,34,My Ex's Best Friend,Machine Gun Kelly X blackbear,34.0,28,24,my ex's best friend,machine gun kelly x blackbear
2021-02-06,35,Kings & Queens,Ava Max,29.0,13,25,kings and queens,ava max
2021-02-06,36,Starting Over,Chris Stapleton,35.0,25,22,starting over,chris stapleton
2021-02-06,37,Good Time,Niko Moon,42.0,37,17,good time,niko moon
2021-02-06,38,Sand In My Boots,Morgan Wallen,40.0,32,3,sand in my boots,morgan wallen
2021-02-06,39,Afterglow,Ed Sheeran,41.0,29,6,afterglow,ed sheeran
2021-02-06,40,Back In Blood,Pooh Shiesty Featuring Lil Durk,46.0,40,4,back in blood,pooh shiesty featuring lil durk
2021-02-06,41,Rockstar,DaBaby Featuring Roddy Ricch,37.0,1,40,rockstar,dababy featuring roddy ricch
2021-02-06,42,Hole In The Bottle,Kelsea Ballerini,44.0,42,15,hole in the bottle,kelsea ballerini
2021-02-06,43,Somebody's Problem,Morgan Wallen,36.0,25,7,somebody's problem,morgan wallen
2021-02-06,44,Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",43.0,2,50,whats poppin,jack harlow featuring dababy tory lanez and lil wayne
2021-02-06,45,Best Friend,Saweetie Featuring Doja Cat,49.0,39,3,best friend,saweetie featuring doja cat
2021-02-06,46,Dynamite,BTS,45.0,1,23,dynamite,bts
2021-02-06,47,Without You,The Kid LAROI,52.0,47,8,without you,the kid laroi
2021-02-06,48,Skin,Sabrina Carpenter,0.0,48,1,skin,sabrina carpenter
2021-02-06,49,Diamonds,Sam Smith,47.0,39,19,diamonds,sam smith
2021-02-06,50,Happy Does,Kenny Chesney,57.0,50,11,happy does,kenny chesney
2021-02-06,51,Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,48.0,1,31,savage love,jawsh 685 x jason derulo
2021-02-06,52,Damage,H.E.R.,53.0,52,7,damage,h e r
2021-02-06,53,Beers And Sunshine,Darius Rucker,64.0,53,7,beers and sunshine,darius rucker
2021-02-06,54,Cry Baby,Megan Thee Stallion Featuring DaBaby,51.0,44,8,cry baby,megan thee stallion featuring dababy
2021-02-06,55,Put Your Records On,Ritt Momney,61.0,55,15,put your records on,ritt momney
2021-02-06,56,Just The Way,Parmalee x Blanco Brown,73.0,56,5,just the way,parmalee x blanco brown
2021-02-06,57,Bad Boy,Juice WRLD & Young Thug,22.0,22,2,bad boy,juice wrld and young thug
2021-02-06,58,Down To One,Luke Bryan,70.0,58,5,down to one,luke bryan
2021-02-06,59,What's Your Country Song,Thomas Rhett,60.0,59,6,what's your country song,thomas rhett
2021-02-06,60,Beat Box,SpotemGottem Featuring Pooh Shiesty Or DaBaby,84.0,60,2,beat box,spotemgottem featuring pooh shiesty or dababy
2021-02-06,61,Back To The Streets,Saweetie Featuring Jhene Aiko,58.0,58,10,back to the streets,saweetie featuring jhene aiko
2021-02-06,62,Lo Vas A Olvidar,Billie Eilish & ROSALIA,0.0,62,1,lo vas a olvidar,billie eilish and rosalia
2021-02-06,63,Tyler Herro,Jack Harlow,69.0,34,14,tyler herro,jack harlow
2021-02-06,64,The Good Ones,Gabby Barrett,81.0,64,5,the good ones,gabby barrett
2021-02-06,65,Golden,Harry Styles,82.0,65,14,golden,harry styles
2021-02-06,66,Forever After All,Luke Combs,65.0,2,14,forever after all,luke combs
2021-02-06,67,Buss It,Erica Banks,83.0,67,3,buss it,erica banks
2021-02-06,68,Long Live,Florida Georgia Line,80.0,68,4,long live,florida georgia line
2021-02-06,69,Monsters,All Time Low Featuring Demi Lovato & blackbear ,77.0,69,5,monsters,all time low featuring demi lovato and blackbear
2021-02-06,70,Monster,Shawn Mendes & Justin Bieber,67.0,8,10,monster,shawn mendes and justin bieber
2021-02-06,71,Holiday,Lil Nas X,59.0,37,11,holiday,lil nas x
2021-02-06,72,Still Goin Down,Morgan Wallen,66.0,45,6,still goin down,morgan wallen
2021-02-06,73,Goosebumps,Travis Scott & HVME,85.0,73,2,goosebumps,travis scott and hvme
2021-02-06,74,Cover Me Up,Morgan Wallen,71.0,52,4,cover me up,morgan wallen
2021-02-06,75,Bichota,Karol G,88.0,73,9,bichota,karol g
2021-02-06,76,Warning,Morgan Wallen,72.0,42,3,warning,morgan wallen
2021-02-06,77,865,Morgan Wallen,74.0,46,3,865,morgan wallen
2021-02-06,78,Take You Dancing,Jason Derulo,78.0,57,8,take you dancing,jason derulo
2021-02-06,79,So Done,The Kid LAROI,87.0,59,12,so done,the kid laroi
2021-02-06,80,Mr. Right Now,21 Savage & Metro Boomin Featuring Drake,75.0,10,17,mr right now,21 savage and metro boomin featuring drake
2021-02-06,81,Prisoner,Miley Cyrus Featuring Dua Lipa,79.0,54,10,prisoner,miley cyrus featuring dua lipa
2021-02-06,82,"Big, Big Plans",Chris Lane,68.0,42,17,big big plans,chris lane
2021-02-06,83,Hit Different,SZA Featuring Ty Dolla $ign,86.0,29,20,hit different,sza featuring ty dolla ign
2021-02-06,84,Still Trappin',Lil Durk & King Von,63.0,53,5,still trappin',lil durk and king von
2021-02-06,85,Girl Like Me,Black Eyed Peas X Shakira,91.0,85,3,girl like me,black eyed peas x shakira
2021-02-06,86,Lady,Brett Young,95.0,86,3,lady,brett young
2021-02-06,87,Momma's House,Dustin Lynch,93.0,87,3,momma's house,dustin lynch
2021-02-06,88,Moonwalking In Calabasas,DDG,89.0,82,5,moonwalking in calabasas,ddg
2021-02-06,89,Somebody Like That,Tenille Arts,97.0,89,2,somebody like that,tenille arts
2021-02-06,90,Hell Of A View,Eric Church,99.0,90,3,hell of a view,eric church
2021-02-06,91,Heat Waves,Glass Animals,0.0,91,2,heat waves,glass animals
2021-02-06,92,Masterpiece,DaBaby,55.0,55,2,masterpiece,dababy
2021-02-06,93,Champagne Night,Lady A,62.0,33,14,champagne night,lady a
2021-02-06,94,Drankin N Smokin,Future & Lil Uzi Vert,96.0,31,4,drankin n smokin,future and lil uzi vert
2021-02-06,95,You Got It,VEDO,0.0,87,5,you got it,vedo
2021-02-06,96,One Too Many,Keith Urban Duet With P!nk,98.0,62,7,one too many,keith urban duet with p nk
2021-02-06,97,Opp Stoppa,YBN Nahmir Featuring 21 Savage,0.0,97,1,opp stoppa,ybn nahmir featuring 21 savage
2021-02-06,98,Kacey Talk,YoungBoy Never Broke Again,0.0,50,16,kacey talk,youngboy never broke again
2021-02-06,99,Adderall (Corvette Corvette),Popp Hunna,90.0,74,6,adderall,popp hunna
2021-02-06,100,Antes,Anuel AA & Ozuna,0.0,100,1,antes,anuel aa and ozuna
2021-01-30,1,Drivers License,Olivia Rodrigo,1.0,1,2,drivers license,olivia rodrigo
2021-01-30,2,34+35,Ariana Grande,11.0,2,12,34 35,ariana grande
2021-01-30,3,Mood,24kGoldn Featuring iann dior,2.0,1,24,mood,24kgoldn featuring iann dior
2021-01-30,4,Blinding Lights,The Weeknd,4.0,1,59,blinding lights,the weeknd
2021-01-30,5,Positions,Ariana Grande,3.0,1,13,positions,ariana grande
2021-01-30,6,Levitating,Dua Lipa Featuring DaBaby,6.0,6,16,levitating,dua lipa featuring dababy
2021-01-30,7,Go Crazy,Chris Brown & Young Thug,5.0,5,37,go crazy,chris brown and young thug
2021-01-30,8,Holy,Justin Bieber Featuring Chance The Rapper,7.0,3,18,holy,justin bieber featuring chance the rapper
2021-01-30,9,Bang!,AJR,8.0,8,29,bang,ajr
2021-01-30,10,Good Days,SZA,10.0,10,4,good days,sza
2021-01-30,11,For The Night,Pop Smoke Featuring Lil Baby & DaBaby,15.0,6,29,for the night,pop smoke featuring lil baby and dababy
2021-01-30,12,I Hope,Gabby Barrett Featuring Charlie Puth,14.0,3,56,i hope,gabby barrett featuring charlie puth
2021-01-30,13,Therefore I Am,Billie Eilish,17.0,2,11,therefore i am,billie eilish
2021-01-30,14,Lonely,Justin Bieber & benny blanco,12.0,12,14,lonely,justin bieber and benny blanco
2021-01-30,15,Better Together,Luke Combs,24.0,15,16,better together,luke combs
2021-01-30,16,Body,Megan Thee Stallion,20.0,12,9,body,megan thee stallion
2021-01-30,17,Laugh Now Cry Later,Drake Featuring Lil Durk,13.0,2,23,laugh now cry later,drake featuring lil durk
2021-01-30,18,Dakiti,Bad Bunny & Jhay Cortez,23.0,5,12,dakiti,bad bunny and jhay cortez
2021-01-30,19,Whoopty,CJ,25.0,19,11,whoopty,cj
2021-01-30,20,Save Your Tears,The Weeknd,21.0,20,6,save your tears,the weeknd
2021-01-30,21,Lemonade,Internet Money & Gunna Featuring Don Toliver & NAV,19.0,6,23,lemonade,internet money and gunna featuring don toliver and nav
2021-01-30,22,Bad Boy,Juice WRLD & Young Thug,0.0,22,1,bad boy,juice wrld and young thug
2021-01-30,23,What You Know Bout Love,Pop Smoke,27.0,20,20,what you know bout love,pop smoke
2021-01-30,24,Wasted On You,Morgan Wallen,9.0,9,2,wasted on you,morgan wallen
2021-01-30,25,7 Summers,Morgan Wallen,18.0,6,22,7 summers,morgan wallen
2021-01-30,26,Anyone,Justin Bieber,22.0,6,3,anyone,justin bieber
2021-01-30,27,More Than My Hometown,Morgan Wallen,16.0,15,30,more than my hometown,morgan wallen
2021-01-30,28,Willow,Taylor Swift,29.0,1,6,willow,taylor swift
2021-01-30,29,Kings & Queens,Ava Max,28.0,13,24,kings and queens,ava max
2021-01-30,30,Before You Go,Lewis Capaldi,31.0,9,48,before you go,lewis capaldi
2021-01-30,31,You Broke Me First.,Tate McRae,33.0,31,22,you broke me first,tate mcrae
2021-01-30,32,You're Mines Still,Yung Bleu Featuring Drake,54.0,32,7,you're mines still,yung bleu featuring drake
2021-01-30,33,On Me,Lil Baby,37.0,30,7,on me,lil baby
2021-01-30,34,My Ex's Best Friend,Machine Gun Kelly X blackbear,40.0,28,23,my ex's best friend,machine gun kelly x blackbear
2021-01-30,35,Starting Over,Chris Stapleton,38.0,25,21,starting over,chris stapleton
2021-01-30,36,Somebody's Problem,Morgan Wallen,26.0,25,6,somebody's problem,morgan wallen
2021-01-30,37,Rockstar,DaBaby Featuring Roddy Ricch,34.0,1,39,rockstar,dababy featuring roddy ricch
2021-01-30,38,I Should Probably Go To Bed,Dan + Shay,30.0,28,24,i should probably go to bed,dan shay
2021-01-30,39,Streets,Doja Cat,91.0,39,2,streets,doja cat
2021-01-30,40,Sand In My Boots,Morgan Wallen,32.0,32,2,sand in my boots,morgan wallen
2021-01-30,41,Afterglow,Ed Sheeran,36.0,29,5,afterglow,ed sheeran
2021-01-30,42,Good Time,Niko Moon,44.0,42,16,good time,niko moon
2021-01-30,43,Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",41.0,2,49,whats poppin,jack harlow featuring dababy tory lanez and lil wayne
2021-01-30,44,Hole In The Bottle,Kelsea Ballerini,49.0,44,14,hole in the bottle,kelsea ballerini
2021-01-30,45,Dynamite,BTS,35.0,1,22,dynamite,bts
2021-01-30,46,Back In Blood,Pooh Shiesty Featuring Lil Durk,78.0,46,3,back in blood,pooh shiesty featuring lil durk
2021-01-30,47,Diamonds,Sam Smith,47.0,39,18,diamonds,sam smith
2021-01-30,48,Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,43.0,1,30,savage love,jawsh 685 x jason derulo
2021-01-30,49,Best Friend,Saweetie Featuring Doja Cat,39.0,39,2,best friend,saweetie featuring doja cat
2021-01-30,50,WAP,Cardi B Featuring Megan Thee Stallion,48.0,1,24,wap,cardi b featuring megan thee stallion
2021-01-30,51,Cry Baby,Megan Thee Stallion Featuring DaBaby,51.0,44,7,cry baby,megan thee stallion featuring dababy
2021-01-30,52,Without You,The Kid LAROI,57.0,52,7,without you,the kid laroi
2021-01-30,53,Damage,H.E.R.,64.0,53,6,damage,h e r
2021-01-30,54,Throat Baby (Go Baby),BRS Kash,69.0,54,14,throat baby,brs kash
2021-01-30,55,Masterpiece,DaBaby,0.0,55,1,masterpiece,dababy
2021-01-30,56,Love You Like I Used To,Russell Dickerson,60.0,31,20,love you like i used to,russell dickerson
2021-01-30,57,Happy Does,Kenny Chesney,70.0,57,10,happy does,kenny chesney
2021-01-30,58,Back To The Streets,Saweetie Featuring Jhene Aiko,68.0,58,9,back to the streets,saweetie featuring jhene aiko
2021-01-30,59,Holiday,Lil Nas X,58.0,37,10,holiday,lil nas x
2021-01-30,60,What's Your Country Song,Thomas Rhett,76.0,60,5,what's your country song,thomas rhett
2021-01-30,61,Put Your Records On,Ritt Momney,75.0,61,14,put your records on,ritt momney
2021-01-30,62,Champagne Night,Lady A,53.0,33,13,champagne night,lady a
2021-01-30,63,Still Trappin',Lil Durk & King Von,61.0,53,4,still trappin',lil durk and king von
2021-01-30,64,Beers And Sunshine,Darius Rucker,77.0,64,6,beers and sunshine,darius rucker
2021-01-30,65,Forever After All,Luke Combs,67.0,2,13,forever after all,luke combs
2021-01-30,66,Still Goin Down,Morgan Wallen,45.0,45,5,still goin down,morgan wallen
2021-01-30,67,Monster,Shawn Mendes & Justin Bieber,55.0,8,9,monster,shawn mendes and justin bieber
2021-01-30,68,"Big, Big Plans",Chris Lane,59.0,42,16,big big plans,chris lane
2021-01-30,69,Tyler Herro,Jack Harlow,71.0,34,13,tyler herro,jack harlow
2021-01-30,70,Down To One,Luke Bryan,82.0,70,4,down to one,luke bryan
2021-01-30,71,Cover Me Up,Morgan Wallen,52.0,52,3,cover me up,morgan wallen
2021-01-30,72,Warning,Morgan Wallen,42.0,42,2,warning,morgan wallen
2021-01-30,73,Just The Way,Parmalee x Blanco Brown,87.0,73,4,just the way,parmalee x blanco brown
2021-01-30,74,865,Morgan Wallen,46.0,46,2,865,morgan wallen
2021-01-30,75,Mr. Right Now,21 Savage & Metro Boomin Featuring Drake,65.0,10,16,mr right now,21 savage and metro boomin featuring drake
2021-01-30,76,Undivided,Tim McGraw & Tyler Hubbard,0.0,76,1,undivided,tim mcgraw and tyler hubbard
2021-01-30,77,Monsters,All Time Low Featuring Demi Lovato & blackbear ,81.0,70,4,monsters,all time low featuring demi lovato and blackbear
2021-01-30,78,Take You Dancing,Jason Derulo,72.0,57,7,take you dancing,jason derulo
2021-01-30,79,Prisoner,Miley Cyrus Featuring Dua Lipa,73.0,54,9,prisoner,miley cyrus featuring dua lipa
2021-01-30,80,Long Live,Florida Georgia Line,79.0,79,3,long live,florida georgia line
2021-01-30,81,The Good Ones,Gabby Barrett,89.0,77,4,the good ones,gabby barrett
2021-01-30,82,Golden,Harry Styles,85.0,65,13,golden,harry styles
2021-01-30,83,Buss It,Erica Banks,100.0,83,2,buss it,erica banks
2021-01-30,84,Beat Box,SpotemGottem Featuring Pooh Shiesty Or DaBaby,0.0,84,1,beat box,spotemgottem featuring pooh shiesty or dababy
2021-01-30,85,Goosebumps,Travis Scott & HVME,0.0,85,1,goosebumps,travis scott and hvme
2021-01-30,86,Hit Different,SZA Featuring Ty Dolla $ign,80.0,29,19,hit different,sza featuring ty dolla ign
2021-01-30,87,So Done,The Kid LAROI,94.0,59,11,so done,the kid laroi
2021-01-30,88,Bichota,Karol G,88.0,73,8,bichota,karol g
2021-01-30,89,Moonwalking In Calabasas,DDG,99.0,82,4,moonwalking in calabasas,ddg
2021-01-30,90,Adderall (Corvette Corvette),Popp Hunna,96.0,74,5,adderall,popp hunna
2021-01-30,91,Girl Like Me,Black Eyed Peas X Shakira,0.0,87,2,girl like me,black eyed peas x shakira
2021-01-30,92,De Una Vez,Selena Gomez,0.0,92,1,de una vez,selena gomez
2021-01-30,93,Momma's House,Dustin Lynch,0.0,88,2,momma's house,dustin lynch
2021-01-30,94,Better Days,Ant Clemons Featuring Justin Timberlake,0.0,94,1,better days,ant clemons featuring justin timberlake
2021-01-30,95,Lady,Brett Young,0.0,95,2,lady,brett young
2021-01-30,96,Drankin N Smokin,Future & Lil Uzi Vert,0.0,31,3,drankin n smokin,future and lil uzi vert
2021-01-30,97,Somebody Like That,Tenille Arts,0.0,97,1,somebody like that,tenille arts
2021-01-30,98,One Too Many,Keith Urban Duet With P!nk,0.0,62,6,one too many,keith urban duet with p nk
2021-01-30,99,Hell Of A View,Eric Church,0.0,94,2,hell of a view,eric church
2021-01-30,100,Dangerous,Morgan Wallen,62.0,62,2,dangerous,morgan wallen
2021-01-23,1,Drivers License,Olivia Rodrigo,0.0,1,1,drivers license,olivia rodrigo
2021-01-23,2,Mood,24kGoldn Featuring iann dior,1.0,1,23,mood,24kgoldn featuring iann dior
2021-01-23,3,Positions,Ariana Grande,2.0,1,12,positions,ariana grande
2021-01-23,4,Blinding Lights,The Weeknd,3.0,1,58,blinding lights,the weeknd
2021-01-23,5,Go Crazy,Chris Brown & Young Thug,5.0,5,36,go crazy,chris brown and young thug
2021-01-23,6,Levitating,Dua Lipa Featuring DaBaby,7.0,6,15,levitating,dua lipa featuring dababy
2021-01-23,7,Holy,Justin Bieber Featuring Chance The Rapper,4.0,3,17,holy,justin bieber featuring chance the rapper
2021-01-23,8,Bang!,AJR,9.0,8,28,bang,ajr
2021-01-23,9,Wasted On You,Morgan Wallen,0.0,9,1,wasted on you,morgan wallen
