song_base,artist_canon,genius_full_title,genius_primary_artist,match_score_num,genius_url
king's dead,"jay rock, kendrick lamar, future and james blake",,,0.0,
love lies,khalid and normani,,,0.0,
one kiss,calvin harris and dua lipa,,,0.0,
x,nicky jam x j balvin,,,0.0,
te bote,"casper magico, nio garcia, darell, nicky jam, ozuna and bad bunny",,,0.0,
look at me now,chris brown featuring lil wayne and busta rhymes,,,0.0,
till the world ends,britney spears featuring nicki minaj and ke$ha,,,0.0,
e t,katy perry featuring kanye west,,,0.0,
party rock anthem,lmfao featuring lauren bennett and goonrock,,,0.0,
give me everything,"pitbull featuring ne-yo, afrojack and nayer",,,0.0,
believe me,lil wayne featuring drake,,,0.0,
the man who can't be moved,xenia,,,0.0,
john,lil wayne featuring rick ross,,,0.0,
unusual,trey songz featuring drake,,,0.0,
racks,yc featuring future,,,0.0,
backseat,new boyz featuring the cataracs and dev,,,0.0,
pray for me,the weeknd and kendrick lamar,,,0.0,
havana,camila cabello featuring young thug,,,0.0,
friends,marshmello and anne-marie,,,0.0,
i like it,"cardi b, bad bunny and j balvin",,,0.0,
rich and sad,post malone,,,0.0,
i do,cardi b featuring sza,,,0.0,
ring,cardi b featuring kehlani,,,0.0,
up down,morgan wallen featuring florida georgia line,,,0.0,
otw,"khalid, ty dolla $ign and 6lack",,,0.0,
king's dead,"jay rock, kendrick lamar, future and james blake",,,0.0,
te bote,"casper magico, nio garcia, darell, nicky jam, ozuna and bad bunny",,,0.0,
love lies,khalid and normani,,,0.0,
one kiss,calvin harris and dua lipa,,,0.0,
2 on,tinashe featuring schoolboy q,,,0.0,
x,nicky jam x j balvin,,,0.0,
all the stars,kendrick lamar and sza,,,0.0,
ric flair drip,offset and metro boomin,,,0.0,
dame tu cosita,pitbull x el chombo x karol g featuring cutty ranks,,,0.0,
powerglide,rae sremmurd and juicy j,,,0.0,
finesse,bruno mars and cardi b,,,0.0,
hookah,tyga featuring young thug,,,0.0,
friends,j. cole featuring kill edward,,,0.0,
all the stars,kendrick lamar and sza,,,0.0,
ric flair drip,offset and metro boomin,,,0.0,
powerglide,rae sremmurd and juicy j,,,0.0,
rockstar,post malone featuring 21 savage,,,0.0,
pray for me,the weeknd and kendrick lamar,,,0.0,
finesse,bruno mars and cardi b,,,0.0,
friends,marshmello and anne-marie,,,0.0,
havana,camila cabello featuring young thug,,,0.0,
i like it,"cardi b, bad bunny and j balvin",,,0.0,
look alive,blocboy jb featuring drake,,,0.0,
look at you,big and rich,,,0.0,
psycho,post malone featuring ty dolla $ign,,,0.0,
alone,halsey featuring big sean and stefflon don,,,0.0,
el farsante,ozuna and romeo santos,,,0.0,
sativa,jhene aiko featuring swae lee or rae sremmurd,,,0.0,
alone,halsey featuring big sean and stefflon don,,,0.0,
this is me,keala settle and the greatest showman ensemble,,,0.0,
sativa,jhene aiko featuring swae lee or rae sremmurd,,,0.0,
el farsante,ozuna and romeo santos,,,0.0,
up down,morgan wallen featuring florida georgia line,,,0.0,
dame tu cosita,pitbull x el chombo x karol g featuring cutty ranks,,,0.0,
te bote,"casper magico, nio garcia, darell, nicky jam, ozuna and bad bunny",,,0.0,
babe,sugarland featuring taylor swift,,,0.0,
ring,cardi b featuring kehlani,,,0.0,
i do,cardi b featuring sza,,,0.0,
one kiss,calvin harris and dua lipa,,,0.0,
love lies,khalid and normani,,,0.0,
otw,"khalid, ty dolla $ign and 6lack",,,0.0,
x,nicky jam x j balvin,,,0.0,
king's dead,"jay rock, kendrick lamar, future and james blake",,,0.0,
bang bang,"jessie j, ariana grande and nicki minaj",,,0.0,
i like it,"cardi b, bad bunny and j balvin",,,0.0,
shake senora,pitbull featuring t-pain and sean paul,,,0.0,
dog days are over,vicci martinez,,,0.0,
s m,rihanna featuring britney spears,,,0.0,
my last,big sean featuring chris brown,,,0.0,
break free,ariana grande featuring zedd,,,0.0,
look at me now,chris brown featuring lil wayne and busta rhymes,,,0.0,
rather be,clean bandit featuring jess glynne,,,0.0,
till the world ends,britney spears featuring nicki minaj and ke$ha,,,0.0,
moves like jagger,maroon 5 featuring christina aguilera,,,0.0,
e t,katy perry featuring kanye west,,,0.0,
party rock anthem,lmfao featuring lauren bennett and goonrock,,,0.0,
look alive,blocboy jb featuring drake,,,0.0,
am i wrong,nico and vinz,,,0.0,
psycho,post malone featuring ty dolla $ign,,,0.0,
best life,cardi b featuring chance the rapper,,,0.0,
best life,cardi b featuring chance the rapper,,,0.0,
one kiss,calvin harris and dua lipa,,,0.0,
x,nicky jam x j balvin,,,0.0,
love lies,khalid and normani,,,0.0,
king's dead,"jay rock, kendrick lamar, future and james blake",,,0.0,
ring,cardi b featuring kehlani,,,0.0,
i do,cardi b featuring sza,,,0.0,
powerglide,rae sremmurd and juicy j,,,0.0,
bailando,enrique iglesias featuring descemer bueno and gente de zona,,,0.0,
ric flair drip,offset and metro boomin,,,0.0,
all the stars,kendrick lamar and sza,,,0.0,
rockstar,post malone featuring 21 savage,,,0.0,
friends,marshmello and anne-marie,,,0.0,
havana,camila cabello featuring young thug,,,0.0,
pray for me,the weeknd and kendrick lamar,,,0.0,
finesse,bruno mars and cardi b,,,0.0,
rockstar,post malone featuring 21 savage,,,0.0,
i do,cardi b featuring sza,,,0.0,
fancy,iggy azalea featuring charli xcx,,,0.0,
pray for me,the weeknd and kendrick lamar,,,0.0,
havana,camila cabello featuring young thug,,,0.0,
finesse,bruno mars and cardi b,,,0.0,
i like it,"cardi b, bad bunny and j balvin",,,0.0,
problem,ariana grande featuring iggy azalea,,,0.0,
look alive,blocboy jb featuring drake,,,0.0,
psycho,post malone featuring ty dolla $ign,,,0.0,
top off,"dj khaled featuring jay z, future and b",,,0.0,
sativa,jhene aiko featuring swae lee or rae sremmurd,,,0.0,
up down,morgan wallen featuring florida georgia line,,,0.0,
guatemala,swae lee featuring slim jxmmi,,,0.0,
this is me,keala settle and the greatest showman ensemble,,,0.0,
el farsante,ozuna and romeo santos,,,0.0,
pretty girls,iyaz featuring travie mccoy,,,0.0,
john,lil wayne featuring rick ross,,,0.0,
backseat,new boyz featuring the cataracs and dev,,,0.0,
shake senora,pitbull featuring t-pain and sean paul,,,0.0,
unusual,trey songz featuring drake,,,0.0,
racks,yc featuring future,,,0.0,
beautiful,christina aguilera and beverly mcclellan,,,0.0,
hot boy,bobby shmurda,,,0.0,
s m,rihanna featuring britney spears,,,0.0,
man in the mirror,adam levine and javier colon,,,0.0,
latch,disclosure featuring sam smith,,,0.0,
powerglide,rae sremmurd and juicy j,,,0.0,
friends,marshmello and anne-marie,,,0.0,
ring,cardi b featuring kehlani,,,0.0,
ric flair drip,offset and metro boomin,,,0.0,
all the stars,kendrick lamar and sza,,,0.0,
look alive,blocboy jb featuring drake,,,0.0,
psycho,post malone featuring ty dolla $ign,,,0.0,
alone,halsey featuring big sean and stefflon don,,,0.0,
proud,2 chainz featuring yg and offset,,,0.0,
top off,"dj khaled featuring jay z, future and b",,,0.0,
up down,morgan wallen featuring florida georgia line,,,0.0,
sativa,jhene aiko featuring swae lee or rae sremmurd,,,0.0,
el farsante,ozuna and romeo santos,,,0.0,
a ap forever,a$ap rocky featuring moby,,,0.0,
one kiss,calvin harris and dua lipa,,,0.0,
x,nicky jam x j balvin,,,0.0,
love lies,khalid and normani,,,0.0,
king's dead,"jay rock, kendrick lamar, future and james blake",,,0.0,
best life,cardi b featuring chance the rapper,,,0.0,
give me everything,"pitbull featuring ne-yo, afrojack and nayer",,,0.0,
high,big sean featuring wiz khalifa,,,0.0,
top off,"dj khaled featuring jay z, future and b",,,0.0,
el farsante,ozuna and romeo santos,,,0.0,
love lies,khalid and normani,,,0.0,
lemon,n*e*r*d and rihanna,,,0.0,
x,nicky jam x j balvin,,,0.0,
hurt you,the weeknd featuring gesaffelstein,,,0.0,
king's dead,"jay rock, kendrick lamar, future and james blake",,,0.0,
powerglide,rae sremmurd and juicy j,,,0.0,
friends,marshmello and anne-marie,,,0.0,
rockstar,post malone featuring 21 savage,,,0.0,
ric flair drip,offset and metro boomin,,,0.0,
all the stars,kendrick lamar and sza,,,0.0,
pray for me,the weeknd and kendrick lamar,,,0.0,
havana,camila cabello featuring young thug,,,0.0,
finesse,bruno mars and cardi b,,,0.0,
lifestyle,rich gang featuring young thug and rich homie quan,,,0.0,
my last,big sean featuring chris brown,,,0.0,
look at me now,chris brown featuring lil wayne and busta rhymes,,,0.0,
till the world ends,britney spears featuring nicki minaj and ke$ha,,,0.0,
moves like jagger,maroon 5 featuring christina aguilera,,,0.0,
no mediocre,t.i. featuring iggy azalea,,,0.0,
e t,katy perry featuring kanye west,,,0.0,
give me everything,"pitbull featuring ne-yo, afrojack and nayer",,,0.0,
party rock anthem,lmfao featuring lauren bennett and goonrock,,,0.0,
ballin',young jeezy featuring lil wayne,,,0.0,
pretty girls,iyaz featuring travie mccoy,,,0.0,
john,lil wayne featuring rick ross,,,0.0,
racks,yc featuring future,,,0.0,
proud,2 chainz featuring yg and offset,,,0.0,
la modelo,ozuna x cardi b,,,0.0,
up down,morgan wallen featuring florida georgia line,,,0.0,
sativa,jhene aiko featuring swae lee or rae sremmurd,,,0.0,
wolves,selena gomez x marshmello,,,0.0,
love,kendrick lamar featuring zacari,,,0.0,
no limit,g-eazy featuring a$ap rocky and cardi b,,,0.0,
powerglide,rae sremmurd and juicy j,,,0.0,
lemon,n*e*r*d and rihanna,,,0.0,
king's dead,"jay rock, kendrick lamar, future and james blake",,,0.0,
friends,marshmello and anne-marie,,,0.0,
rockstar,post malone featuring 21 savage,,,0.0,
ric flair drip,offset and metro boomin,,,0.0,
all the stars,kendrick lamar and sza,,,0.0,
pray for me,the weeknd and kendrick lamar,,,0.0,
havana,camila cabello featuring young thug,,,0.0,
2 on,tinashe featuring schoolboy q,,,0.0,
look alive,blocboy jb featuring drake,,,0.0,
psycho,post malone featuring ty dolla $ign,,,0.0,
finesse,bruno mars and cardi b,,,0.0,
moves like jagger,maroon 5 featuring christina aguilera,,,0.0,
no mediocre,t.i. featuring iggy azalea,,,0.0,
s m,rihanna featuring britney spears,,,0.0,
my last,big sean featuring chris brown,,,0.0,
look at me now,chris brown featuring lil wayne and busta rhymes,,,0.0,
till the world ends,britney spears featuring nicki minaj and ke$ha,,,0.0,
studio,schoolboy q featuring bj the chicago kid,,,0.0,
e t,katy perry featuring kanye west,,,0.0,
give me everything,"pitbull featuring ne-yo, afrojack and nayer",,,0.0,
party rock anthem,lmfao featuring lauren bennett and goonrock,,,0.0,
top off,"dj khaled featuring jay z, future and b",,,0.0,
lost in japan,shawn mendes x zedd,,,0.0,
el farsante,ozuna and romeo santos,,,0.0,
x,nicky jam x j balvin,,,0.0,
love lies,khalid and normani,,,0.0,
motorsport,"migos, nicki minaj and cardi b",,,0.0,
friends,marshmello and anne-marie,,,0.0,
king's dead,"jay rock, kendrick lamar, future and james blake",,,0.0,
rockstar,post malone featuring 21 savage,,,0.0,
all the stars,kendrick lamar and sza,,,0.0,
ric flair drip,offset and metro boomin,,,0.0,
look alive,blocboy jb featuring drake,,,0.0,
pray for me,the weeknd and kendrick lamar,,,0.0,
havana,camila cabello featuring young thug,,,0.0,
loyal,chris brown featuring lil wayne and french montana or too $hort or tyga,,,0.0,
psycho,post malone featuring ty dolla $ign,,,0.0,
finesse,bruno mars and cardi b,,,0.0,
la modelo,ozuna x cardi b,,,0.0,
this is me,keala settle and the greatest showman ensemble,,,0.0,
up down,morgan wallen featuring florida georgia line,,,0.0,
sativa,jhene aiko featuring swae lee or rae sremmurd,,,0.0,
unusual,trey songz featuring drake,,,0.0,
finesse,bruno mars and cardi b,,,0.0,
la modelo,ozuna x cardi b,,,0.0,
at the club,jacquees x dej loaf,,,0.0,
sativa,jhene aiko featuring swae lee or rae sremmurd,,,0.0,
el farsante,ozuna and romeo santos,,,0.0,
top off,"dj khaled featuring jay z, future and b",,,0.0,
x,nicky jam x j balvin,,,0.0,
love lies,khalid and normani,,,0.0,
powerglide,rae sremmurd and juicy j,,,0.0,
sky walker,miguel featuring travis scott,,,0.0,
young dumb and broke,khalid,,,0.0,
no limit,g-eazy featuring a$ap rocky and cardi b,,,0.0,
motorsport,"migos, nicki minaj and cardi b",,,0.0,
love,kendrick lamar featuring zacari,,,0.0,
wolves,selena gomez x marshmello,,,0.0,
lemon,n*e*r*d and rihanna,,,0.0,
all the stars,kendrick lamar and sza,,,0.0,
look alive,blocboy jb featuring drake,,,0.0,
pray for me,the weeknd and kendrick lamar,,,0.0,
ballin',young jeezy featuring lil wayne,,,0.0,
john,lil wayne featuring rick ross,,,0.0,
racks,yc featuring future,,,0.0,
unusual,trey songz featuring drake,,,0.0,
wiggle,jason derulo featuring snoop dogg,,,0.0,
moves like jagger,maroon 5 featuring christina aguilera,,,0.0,
booty wurk,t-pain featuring joey galaxy,,,0.0,
my last,big sean featuring chris brown,,,0.0,
look at me now,chris brown featuring lil wayne and busta rhymes,,,0.0,
till the world ends,britney spears featuring nicki minaj and ke$ha,,,0.0,
havana,camila cabello featuring young thug,,,0.0,
believe me,lil wayne featuring drake,,,0.0,
psycho,post malone featuring ty dolla $ign,,,0.0,
el farsante,ozuna and romeo santos,,,0.0,
lemon,n*e*r*d and rihanna,,,0.0,
love lies,khalid and normani,,,0.0,
flawless,beyonce featuring nicki minaj or chimamanda ngozi adichie,,,0.0,
top off,"dj khaled featuring jay z, future and b",,,0.0,
plain jane,a$ap ferg featuring nicki minaj,,,0.0,
sky walker,miguel featuring travis scott,,,0.0,
young dumb and broke,khalid,,,0.0,
friends,marshmello and anne-marie,,,0.0,
motorsport,"migos, nicki minaj and cardi b",,,0.0,
no limit,g-eazy featuring a$ap rocky and cardi b,,,0.0,
love,kendrick lamar featuring zacari,,,0.0,
wolves,selena gomez x marshmello,,,0.0,
king's dead,"jay rock, kendrick lamar, future and james blake",,,0.0,
ric flair drip,offset and metro boomin,,,0.0,
rockstar,post malone featuring 21 savage,,,0.0,
e t,katy perry featuring kanye west,,,0.0,
give me everything,"pitbull featuring ne-yo, afrojack and nayer",,,0.0,
party rock anthem,lmfao featuring lauren bennett and goonrock,,,0.0,
oh my,"dj drama featuring fabolous, roscoe dash and wiz khalifa",,,0.0,
ballin',young jeezy featuring lil wayne,,,0.0,
pretty girls,iyaz featuring travie mccoy,,,0.0,
racks,yc featuring future,,,0.0,
john,lil wayne featuring rick ross,,,0.0,
marvin and chardonnay,big sean featuring kanye west and roscoe dash,,,0.0,
new flame,chris brown featuring usher and rick ross,,,0.0,
unusual,trey songz featuring drake,,,0.0,
booty wurk,t-pain featuring joey galaxy,,,0.0,
wassup,logic featuring big sean,,,0.0,
powerglide,rae sremmurd and juicy j,,,0.0,
66,lil yachty featuring trippie redd,,,0.0,
x,nicky jam x j balvin,,,0.0,
ric flair drip,offset and metro boomin,,,0.0,
rockstar,post malone featuring 21 savage,,,0.0,
all the stars,kendrick lamar and sza,,,0.0,
pray for me,the weeknd and kendrick lamar,,,0.0,
calm down,busta rhymes featuring eminem,,,0.0,
look alive,blocboy jb featuring drake,,,0.0,
havana,camila cabello featuring young thug,,,0.0,
psycho,post malone featuring ty dolla $ign,,,0.0,
finesse,bruno mars and cardi b,,,0.0,
warm it up,logic featuring young sinatra,,,0.0,
at the club,jacquees x dej loaf,,,0.0,
x,"schoolboy q, 2 chainz and saudi",,,0.0,
this is me,keala settle and the greatest showman ensemble,,,0.0,
we are one the 2014 fifa world cup official song,pitbull featuring jennifer lopez and claudia leitte,,,0.0,
river,eminem featuring ed sheeran,,,0.0,
fancy,iggy azalea featuring charli xcx,,,0.0,
powerglide,rae sremmurd and juicy j,,,0.0,
love lies,khalid and normani,,,0.0,
el farsante,ozuna and romeo santos,,,0.0,
river,eminem featuring ed sheeran,,,0.0,
this is me,keala settle and the greatest showman ensemble,,,0.0,
lemon,n*e*r*d and rihanna,,,0.0,
friends,marshmello and anne-marie,,,0.0,
plain jane,a$ap ferg featuring nicki minaj,,,0.0,
sky walker,miguel featuring travis scott,,,0.0,
young dumb and broke,khalid,,,0.0,
no limit,g-eazy featuring a$ap rocky and cardi b,,,0.0,
motorsport,"migos, nicki minaj and cardi b",,,0.0,
love,kendrick lamar featuring zacari,,,0.0,
wolves,selena gomez x marshmello,,,0.0,
king's dead,"jay rock, kendrick lamar, future and james blake",,,0.0,
top off,"dj khaled featuring jay z, future and b",,,0.0,
love,kendrick lamar featuring zacari,,,0.0,
problem,ariana grande featuring iggy azalea,,,0.0,
all the stars,kendrick lamar and sza,,,0.0,
pray for me,the weeknd and kendrick lamar,,,0.0,
rockstar,post malone featuring 21 savage,,,0.0,
look alive,blocboy jb featuring drake,,,0.0,
havana,camila cabello featuring young thug,,,0.0,
finesse,bruno mars and cardi b,,,0.0,
psycho,post malone featuring ty dolla $ign,,,0.0,
sativa,jhene aiko featuring swae lee or rae sremmurd,,,0.0,
corazon,maluma x nego do borel,,,0.0,
keke,"6ix9ine, fetty wap and a boogie wit da hoodie",,,0.0,
x,"schoolboy q, 2 chainz and saudi",,,0.0,
at the club,jacquees x dej loaf,,,0.0,
la modelo,ozuna x cardi b,,,0.0,
x,nicky jam x j balvin,,,0.0,
moves like jagger,maroon 5 featuring christina aguilera,,,0.0,
my last,big sean featuring chris brown,,,0.0,
look at me now,chris brown featuring lil wayne and busta rhymes,,,0.0,
till the world ends,britney spears featuring nicki minaj and ke$ha,,,0.0,
e t,katy perry featuring kanye west,,,0.0,
am i wrong,nico and vinz,,,0.0,
give me everything,"pitbull featuring ne-yo, afrojack and nayer",,,0.0,
party rock anthem,lmfao featuring lauren bennett and goonrock,,,0.0,
oh my,"dj drama featuring fabolous, roscoe dash and wiz khalifa",,,0.0,
wiggle,jason derulo featuring snoop dogg,,,0.0,
john,lil wayne featuring rick ross,,,0.0,
young dumb and broke,khalid,,,0.0,
no limit,g-eazy featuring a$ap rocky and cardi b,,,0.0,
motorsport,"migos, nicki minaj and cardi b",,,0.0,
king's dead,"jay rock, kendrick lamar, future and james blake",,,0.0,
wolves,selena gomez x marshmello,,,0.0,
notice me,migos featuring post malone,,,0.0,
this is me,keala settle and the greatest showman ensemble,,,0.0,
at the club,jacquees x dej loaf,,,0.0,
la modelo,ozuna x cardi b,,,0.0,
rondo,6ix9ine featuring tory lanez and young thug,,,0.0,
x,"schoolboy q, 2 chainz and saudi",,,0.0,
keke,"6ix9ine, fetty wap and a boogie wit da hoodie",,,0.0,
love lies,khalid and normani,,,0.0,
friends,marshmello and anne-marie,,,0.0,
el farsante,ozuna and romeo santos,,,0.0,
lemon,n*e*r*d and rihanna,,,0.0,
river,eminem featuring ed sheeran,,,0.0,
plain jane,a$ap ferg featuring nicki minaj,,,0.0,
sky walker,miguel featuring travis scott,,,0.0,
ric flair drip,offset and metro boomin,,,0.0,
otis,jay z kanye west featuring otis redding,,,0.0,
river,eminem featuring ed sheeran,,,0.0,
young dumb and broke,khalid,,,0.0,
wolves,selena gomez x marshmello,,,0.0,
no limit,g-eazy featuring a$ap rocky and cardi b,,,0.0,
king's dead,"jay rock, kendrick lamar, future and james blake",,,0.0,
motorsport,"migos, nicki minaj and cardi b",,,0.0,
love,kendrick lamar featuring zacari,,,0.0,
latch,disclosure featuring sam smith,,,0.0,
pray for me,the weeknd and kendrick lamar,,,0.0,
all the stars,kendrick lamar and sza,,,0.0,
rockstar,post malone featuring 21 savage,,,0.0,
look alive,blocboy jb featuring drake,,,0.0,
havana,camila cabello featuring young thug,,,0.0,
finesse,bruno mars and cardi b,,,0.0,
mayores,becky g featuring bad bunny,,,0.0,
corazon,maluma x nego do borel,,,0.0,
for you,liam payne and rita ora,,,0.0,
end game,taylor swift featuring ed sheeran and future,,,0.0,
notice me,migos featuring post malone,,,0.0,
at the club,jacquees x dej loaf,,,0.0,
this is me,keala settle and the greatest showman ensemble,,,0.0,
keke,"6ix9ine, fetty wap and a boogie wit da hoodie",,,0.0,
la modelo,ozuna x cardi b,,,0.0,
friends,marshmello and anne-marie,,,0.0,
el farsante,ozuna and romeo santos,,,0.0,
x,"schoolboy q, 2 chainz and saudi",,,0.0,
let me go,hailee steinfeld and alesso featuring florida georgia line and watt,,,0.0,
lemon,n*e*r*d and rihanna,,,0.0,
love lies,khalid and normani,,,0.0,
ric flair drip,offset and metro boomin,,,0.0,
plain jane,a$ap ferg featuring nicki minaj,,,0.0,
sky walker,miguel featuring travis scott,,,0.0,
havana,camila cabello featuring young thug,,,0.0,
finesse,bruno mars and cardi b,,,0.0,
easy,rascal flatts featuring natasha bedingfield,,,0.0,
pretty girls,iyaz featuring travie mccoy,,,0.0,
unusual,trey songz featuring drake,,,0.0,
marvin and chardonnay,big sean featuring kanye west and roscoe dash,,,0.0,
booty wurk,t-pain featuring joey galaxy,,,0.0,
look at me now,chris brown featuring lil wayne and busta rhymes,,,0.0,
my last,big sean featuring chris brown,,,0.0,
till the world ends,britney spears featuring nicki minaj and ke$ha,,,0.0,
moves like jagger,maroon 5 featuring christina aguilera,,,0.0,
e t,katy perry featuring kanye west,,,0.0,
loyal,chris brown featuring lil wayne and french montana or too $hort or tyga,,,0.0,
otis,jay z kanye west featuring otis redding,,,0.0,
mayores,becky g featuring bad bunny,,,0.0,
corazon,maluma x nego do borel,,,0.0,
1-800-273-8255,logic featuring alessia cara and khalid,,,0.0,
ric flair drip,offset and metro boomin,,,0.0,
king's dead,"jay rock, kendrick lamar, future and james blake",,,0.0,
river,eminem featuring ed sheeran,,,0.0,
plain jane,a$ap ferg featuring nicki minaj,,,0.0,
sky walker,miguel featuring travis scott,,,0.0,
young dumb and broke,khalid,,,0.0,
wolves,selena gomez x marshmello,,,0.0,
no limit,g-eazy featuring a$ap rocky and cardi b,,,0.0,
motorsport,"migos, nicki minaj and cardi b",,,0.0,
bailando,enrique iglesias featuring descemer bueno and gente de zona,,,0.0,
love,kendrick lamar featuring zacari,,,0.0,
pray for me,the weeknd and kendrick lamar,,,0.0,
all the stars,kendrick lamar and sza,,,0.0,
look alive,blocboy jb featuring drake,,,0.0,
rockstar,post malone featuring 21 savage,,,0.0,
oh my,"dj drama featuring fabolous, roscoe dash and wiz khalifa",,,0.0,
far away,tyga featuring chris richardson,,,0.0,
john,lil wayne featuring rick ross,,,0.0,
unusual,trey songz featuring drake,,,0.0,
easy,rascal flatts featuring natasha bedingfield,,,0.0,
booty wurk,t-pain featuring joey galaxy,,,0.0,
pretty girls,iyaz featuring travie mccoy,,,0.0,
marvin and chardonnay,big sean featuring kanye west and roscoe dash,,,0.0,
look at me now,chris brown featuring lil wayne and busta rhymes,,,0.0,
my last,big sean featuring chris brown,,,0.0,
friends,marshmello and anne-marie,,,0.0,
end game,taylor swift featuring ed sheeran and future,,,0.0,
el farsante,ozuna and romeo santos,,,0.0,
x,"schoolboy q, 2 chainz and saudi",,,0.0,
let me go,hailee steinfeld and alesso featuring florida georgia line and watt,,,0.0,
lemon,n*e*r*d and rihanna,,,0.0,
no limit,g-eazy featuring a$ap rocky and cardi b,,,0.0,
motorsport,"migos, nicki minaj and cardi b",,,0.0,
love,kendrick lamar featuring zacari,,,0.0,
pray for me,the weeknd and kendrick lamar,,,0.0,
rockstar,post malone featuring 21 savage,,,0.0,
havana,camila cabello featuring young thug,,,0.0,
finesse,bruno mars and cardi b,,,0.0,
criminal,natti natasha x ozuna,,,0.0,
at the club,jacquees x dej loaf,,,0.0,
la modelo,ozuna x cardi b,,,0.0,
this is me,keala settle and the greatest showman ensemble,,,0.0,
keke,"6ix9ine, fetty wap and a boogie wit da hoodie",,,0.0,
for you,liam payne and rita ora,,,0.0,
notice me,migos featuring post malone,,,0.0,
give me everything,"pitbull featuring ne-yo, afrojack and nayer",,,0.0,
party rock anthem,lmfao featuring lauren bennett and goonrock,,,0.0,
king's dead,"jay rock, kendrick lamar, future and james blake",,,0.0,
keke,"6ix9ine, fetty wap and a boogie wit da hoodie",,,0.0,
this is me,keala settle and the greatest showman ensemble,,,0.0,
el farsante,ozuna and romeo santos,,,0.0,
let me go,hailee steinfeld and alesso featuring florida georgia line and watt,,,0.0,
end game,taylor swift featuring ed sheeran and future,,,0.0,
lemon,n*e*r*d and rihanna,,,0.0,
ric flair drip,offset and metro boomin,,,0.0,
river,eminem featuring ed sheeran,,,0.0,
1-800-273-8255,logic featuring alessia cara and khalid,,,0.0,
young dumb and broke,khalid,,,0.0,
plain jane,a$ap ferg featuring nicki minaj,,,0.0,
sky walker,miguel featuring travis scott,,,0.0,
all the stars,kendrick lamar and sza,,,0.0,
wolves,selena gomez x marshmello,,,0.0,
hot boy,bobby shmurda,,,0.0,
sky walker,miguel featuring travis scott,,,0.0,
wolves,selena gomez x marshmello,,,0.0,
problem,ariana grande featuring iggy azalea,,,0.0,
love,kendrick lamar featuring zacari,,,0.0,
no limit,g-eazy featuring a$ap rocky and cardi b,,,0.0,
motorsport,"migos, nicki minaj and cardi b",,,0.0,
rockstar,post malone featuring 21 savage,,,0.0,
havana,camila cabello featuring young thug,,,0.0,
finesse,bruno mars and cardi b,,,0.0,
corazon,maluma x nego do borel,,,0.0,
criminal,natti natasha x ozuna,,,0.0,
at the club,jacquees x dej loaf,,,0.0,
mayores,becky g featuring bad bunny,,,0.0,
bbo,migos featuring 21 savage,,,0.0,
la modelo,ozuna x cardi b,,,0.0,
notice me,migos featuring post malone,,,0.0,
till the world ends,britney spears featuring nicki minaj and ke$ha,,,0.0,
e t,katy perry featuring kanye west,,,0.0,
otis,jay z kanye west featuring otis redding,,,0.0,
latch,disclosure featuring sam smith,,,0.0,
moves like jagger,maroon 5 featuring christina aguilera,,,0.0,
give me everything,"pitbull featuring ne-yo, afrojack and nayer",,,0.0,
party rock anthem,lmfao featuring lauren bennett and goonrock,,,0.0,
booty wurk,t-pain featuring joey galaxy,,,0.0,
unusual,trey songz featuring drake,,,0.0,
easy,rascal flatts featuring natasha bedingfield,,,0.0,
ni as in paris,jay z kanye west,,,0.0,
river,eminem featuring ed sheeran,,,0.0,
end game,taylor swift featuring ed sheeran and future,,,0.0,
young dumb and broke,khalid,,,0.0,
plain jane,a$ap ferg featuring nicki minaj,,,0.0,
1-800-273-8255,logic featuring alessia cara and khalid,,,0.0,
king's dead,"jay rock, kendrick lamar, future and james blake",,,0.0,
mic drop,bts featuring desiigner,,,0.0,
best friend,"sofi tukker featuring nervo, the knocks and alisa ueno",,,0.0,
cc,migos featuring gucci mane,,,0.0,
mayores,becky g featuring bad bunny,,,0.0,
el farsante,ozuna and romeo santos,,,0.0,
la modelo,ozuna x cardi b,,,0.0,
this is me,keala settle and the greatest showman ensemble,,,0.0,
white sand,"migos featuring travis scott, ty dolla $ign and big sean",,,0.0,
keke,"6ix9ine, fetty wap and a boogie wit da hoodie",,,0.0,
all the stars,kendrick lamar and sza,,,0.0,
notice me,migos featuring post malone,,,0.0,
let me go,hailee steinfeld and alesso featuring florida georgia line and watt,,,0.0,
bbo,migos featuring 21 savage,,,0.0,
lemon,n*e*r*d and rihanna,,,0.0,
ric flair drip,offset and metro boomin,,,0.0,
keke,"6ix9ine, fetty wap and a boogie wit da hoodie",,,0.0,
lemon,n*e*r*d and rihanna,,,0.0,
ric flair drip,offset and metro boomin,,,0.0,
young dumb and broke,khalid,,,0.0,
river,eminem featuring ed sheeran,,,0.0,
end game,taylor swift featuring ed sheeran and future,,,0.0,
sky walker,miguel featuring travis scott,,,0.0,
plain jane,a$ap ferg featuring nicki minaj,,,0.0,
wolves,selena gomez x marshmello,,,0.0,
love,kendrick lamar featuring zacari,,,0.0,
motorsport,"migos, nicki minaj and cardi b",,,0.0,
no limit,g-eazy featuring a$ap rocky and cardi b,,,0.0,
finesse,bruno mars and cardi b,,,0.0,
rockstar,post malone featuring 21 savage,,,0.0,
havana,camila cabello featuring young thug,,,0.0,
corazon,maluma x nego do borel,,,0.0,
