song_base,artist_canon,genius_id,genius_url,genius_path,genius_full_title,genius_primary_artist,genius_pageviews,genius_pyongs,genius_annotation_count,genius_lyrics_state,match_score,title_has_spanish_char,title_has_spanish_word,genius_has_spanish_translation_hint
wockesha,moneybagg yo,6728862.0,https://genius.com/Moneybagg-yo-wockesha-lyrics,/Moneybagg-yo-wockesha-lyrics,Wockesha by Moneybagg Yo,Moneybagg Yo,340284.0,,9.0,complete,1.0,False,False,False
better days,neiked x mae muller x polo g,,,,,,,,,,0.0,False,False,False
buy dirt,jordan davis featuring luke bryan,6774548.0,https://genius.com/Jordan-davis-buy-dirt-lyrics,/Jordan-davis-buy-dirt-lyrics,Buy Dirt by Jordan Davis (Ft. Luke Bryan),Jordan Davis,53678.0,,6.0,complete,0.6666666666666666,False,False,False
ghost,justin bieber,6576448.0,https://genius.com/Justin-bieber-ghost-lyrics,/Justin-bieber-ghost-lyrics,Ghost by Justin Bieber,Justin Bieber,698161.0,,6.0,complete,1.0,False,False,False
lets go brandon,loza alexander,7296965.0,https://genius.com/Loza-alexander-lets-go-brandon-lyrics,/Loza-alexander-lets-go-brandon-lyrics,Lets Go Brandon by Loza Alexander,Loza Alexander,22161.0,,6.0,complete,1.0,False,False,False
cold as you,luke combs,5563533.0,https://genius.com/Luke-combs-cold-as-you-lyrics,/Luke-combs-cold-as-you-lyrics,Cold As You by Luke Combs,Luke Combs,45527.0,,2.0,complete,1.0,False,False,False
a-o-k,tai verdes,6708241.0,https://genius.com/Tai-verdes-a-o-k-lyrics,/Tai-verdes-a-o-k-lyrics,A-O-K by Tai Verdes,Tai Verdes,228770.0,,13.0,complete,1.0,False,False,False
you should probably leave,chris stapleton,3096724.0,https://genius.com/Chris-stapleton-you-should-probably-leave-lyrics,/Chris-stapleton-you-should-probably-leave-lyrics,You Should Probably Leave by Chris Stapleton,Chris Stapleton,172062.0,,7.0,complete,1.0,False,False,False
leave the door open,silk sonic (bruno mars and anderson .paak),,,,,,,,,,0.0,False,False,False
thinking 'bout you,dustin lynch featuring lauren alaina or mackenzie porter,,,,,,,,,,0.0,False,False,False
memory i don't mess with,lee brice,5968685.0,https://genius.com/Lee-brice-memory-i-dont-mess-with-lyrics,/Lee-brice-memory-i-dont-mess-with-lyrics,Memory I Don't Mess With by Lee Brice,Lee Brice,22147.0,,0.0,complete,0.9850746268656716,False,False,False
bubbly,young thug with drake and travis scott,,,,,,,,,,0.0,False,False,False
wild side,normani featuring cardi b,6488157.0,https://genius.com/Normani-wild-side-lyrics,/Normani-wild-side-lyrics,Wild Side by Normani (Ft. Cardi B),Normani,405385.0,,2.0,complete,0.6538461538461539,False,False,False
sharing locations,meek mill featuring lil baby and lil durk,,,,,,,,,,0.0,False,False,False
gyalis,capella grey,6850809.0,https://genius.com/Capella-grey-gyalis-lyrics,/Capella-grey-gyalis-lyrics,Gyalis by Capella Grey,Capella Grey,85447.0,,4.0,complete,1.0,False,False,False
i was on a boat that day,old dominion,6822755.0,https://genius.com/Old-dominion-i-was-on-a-boat-that-day-lyrics,/Old-dominion-i-was-on-a-boat-that-day-lyrics,I Was On a Boat That Day by Old Dominion,Old Dominion,10673.0,,2.0,complete,1.0,False,False,False
family ties,baby keem and kendrick lamar,10961617.0,https://genius.com/Why-att-usa-family-meals-parody-of-family-ties-by-baby-keem-and-kendrick-lamar-lyrics,/Why-att-usa-family-meals-parody-of-family-ties-by-baby-keem-and-kendrick-lamar-lyrics,"Family Meals [Parody of ""family ties"" by Baby Keem and Kendrick Lamar] by Why-att (USA)",Why-att (USA),,,0.0,complete,0.6779661016949152,False,True,False
have mercy,chloe,6966100.0,https://genius.com/Chloe-have-mercy-lyrics,/Chloe-have-mercy-lyrics,Have Mercy by Chlöe,Chlöe,621854.0,,10.0,complete,1.0,False,False,False
fair trade,drake featuring travis scott,,,,,,,,,,0.0,False,False,False
same boat,zac brown band,6898249.0,https://genius.com/Zac-brown-band-same-boat-lyrics,/Zac-brown-band-same-boat-lyrics,Same Boat by Zac Brown Band,Zac Brown Band,5046.0,,0.0,complete,1.0,False,False,False
my boy,elvie shane,5687251.0,https://genius.com/Elvie-shane-my-boy-lyrics,/Elvie-shane-my-boy-lyrics,My Boy by Elvie Shane,Elvie Shane,77325.0,,2.0,complete,1.0,False,False,False
hurricane,kanye west,7021481.0,https://genius.com/Kanye-west-and-the-weeknd-hurricane-lyrics,/Kanye-west-and-the-weeknd-hurricane-lyrics,Hurricane by Kanye West & The Weeknd (Ft. Lil Baby),Kanye West,1672555.0,,22.0,complete,1.0,False,False,False
chosen,blxst and tyga featuring ty dolla $ign,,,,,,,,,,0.0,False,False,False
baddest,"yung bleu, chris brown and 2 chainz",,,,,,,,,,0.0,False,False,False
knowing you,kenny chesney,5427898.0,https://genius.com/Kenny-chesney-knowing-you-lyrics,/Kenny-chesney-knowing-you-lyrics,Knowing You by Kenny Chesney,Kenny Chesney,17509.0,,0.0,complete,1.0,False,False,False
memory,kane brown x blackbear,,,,,,,,,,0.0,False,False,False
cold beer calling my name,jameson rodgers featuring luke combs,5459058.0,https://genius.com/Jameson-rodgers-cold-beer-calling-my-name-lyrics,/Jameson-rodgers-cold-beer-calling-my-name-lyrics,Cold Beer Calling My Name by Jameson Rodgers (Ft. Luke Combs),Jameson Rodgers,7828.0,,0.0,complete,0.7961165048543689,False,False,False
not in the mood,"lil tjay, fivio foreign and kay flock",,,,,,,,,,0.0,False,False,False
pissed me off,lil durk,7268317.0,https://genius.com/Lil-durk-pissed-me-off-lyrics,/Lil-durk-pissed-me-off-lyrics,Pissed Me Off by Lil Durk,Lil Durk,111447.0,,4.0,complete,1.0,False,False,False
woman,doja cat,6897815.0,https://genius.com/Doja-cat-woman-lyrics,/Doja-cat-woman-lyrics,Woman by Doja Cat,Doja Cat,898054.0,,8.0,complete,1.0,False,False,False
sand in my boots,morgan wallen,6160128.0,https://genius.com/Morgan-wallen-sand-in-my-boots-lyrics,/Morgan-wallen-sand-in-my-boots-lyrics,Sand in My Boots by Morgan Wallen,Morgan Wallen,137365.0,,12.0,complete,1.0,False,False,False
'til you can't,cody johnson,6900142.0,https://genius.com/Cody-johnson-til-you-cant-lyrics,/Cody-johnson-til-you-cant-lyrics,'Til You Can't by Cody Johnson,Cody Johnson,50067.0,,1.0,complete,0.9803921568627451,False,False,False
love again,dua lipa,4790944.0,https://genius.com/Dua-lipa-love-again-lyrics,/Dua-lipa-love-again-lyrics,Love Again by Dua Lipa,Dua Lipa,378471.0,,6.0,complete,1.0,False,False,False
whiskey and rain,michael ray,5996637.0,https://genius.com/Michael-ray-whiskey-and-rain-lyrics,/Michael-ray-whiskey-and-rain-lyrics,Whiskey And Rain by Michael Ray,Michael Ray,6565.0,,1.0,complete,1.0,False,False,False
one mississippi,kane brown,7104064.0,https://genius.com/Kane-brown-one-mississippi-lyrics,/Kane-brown-one-mississippi-lyrics,One Mississippi by Kane Brown,Kane Brown,15784.0,,3.0,complete,1.0,False,True,False
switches and dracs,moneybagg yo featuring lil durk and est gee,,,,,,,,,,0.0,False,False,False
jugaste y sufri,eslabon armado featuring dannylux,6138671.0,https://genius.com/Eslabon-armado-jugaste-y-sufri-lyrics,/Eslabon-armado-jugaste-y-sufri-lyrics,Jugaste y Sufrí by Eslabon Armado (Ft. DannyLux),Eslabon Armado,315314.0,,6.0,complete,0.759493670886076,True,True,False
too easy,gunna and future,6933778.0,https://genius.com/Gunna-and-future-too-easy-lyrics,/Gunna-and-future-too-easy-lyrics,​too easy by Gunna & Future,Gunna,156612.0,,16.0,complete,0.717948717948718,False,False,False
esta danada,ivan cornejo,7287250.0,https://genius.com/Ivan-cornejo-esta-danada-lyrics,/Ivan-cornejo-esta-danada-lyrics,Está Dañada by Ivan Cornejo,Ivan Cornejo,130537.0,,2.0,complete,1.0,True,False,False
volvi,aventura x bad bunny,,,,,,,,,,0.0,False,False,False
tequila little time,jon pardi,4591930.0,https://genius.com/Jon-pardi-tequila-little-time-lyrics,/Jon-pardi-tequila-little-time-lyrics,Tequila Little Time by Jon Pardi,Jon Pardi,11914.0,,7.0,complete,1.0,False,True,False
whole lotta money,bia featuring nicki minaj,6988726.0,https://genius.com/Bia-and-nicki-minaj-whole-lotta-money-remix-lyrics,/Bia-and-nicki-minaj-whole-lotta-money-remix-lyrics,WHOLE LOTTA MONEY (Remix) by BIA & Nicki Minaj,BIA,498566.0,,17.0,complete,0.6,False,True,False
2055,sleepy hallow,5872304.0,https://genius.com/Sleepy-hallow-2055-lyrics,/Sleepy-hallow-2055-lyrics,2055 by Sleepy Hallow,Sleepy Hallow,181850.0,,10.0,complete,1.0,False,False,False
maybach,42 dugg featuring future,,,,,,,,,,0.0,False,False,False
wfm,realestk,7262074.0,https://genius.com/Realestk-wfm-lyrics,/Realestk-wfm-lyrics,WFM by RealestK,RealestK,95254.0,,3.0,complete,1.0,False,False,False
poke it out,wale featuring j. cole,7246530.0,https://genius.com/Wale-poke-it-out-lyrics,/Wale-poke-it-out-lyrics,Poke It Out by Wale (Ft. J. Cole),Wale,53210.0,,10.0,complete,0.6530612244897959,False,False,False
praise god,kanye west,5780838.0,https://genius.com/Kanye-west-praise-god-lyrics,/Kanye-west-praise-god-lyrics,Praise God by Kanye West (Ft. Baby Keem & Travis Scott),Kanye West,1793144.0,,16.0,complete,1.0,False,False,False
lo siento bb,"tainy, bad bunny and julieta venegas",,,,,,,,,,0.0,False,False,False
freedom was a highway,jimmie allen and brad paisley,5747865.0,https://genius.com/Jimmie-allen-and-brad-paisley-freedom-was-a-highway-lyrics,/Jimmie-allen-and-brad-paisley-freedom-was-a-highway-lyrics,Freedom Was A Highway by Jimmie Allen & Brad Paisley,Jimmie Allen,6808.0,,0.0,complete,0.8,False,False,False
for tonight,giveon,7216927.0,https://genius.com/Giveon-for-tonight-lyrics,/Giveon-for-tonight-lyrics,For Tonight by GIVĒON,GIVĒON,205498.0,,5.0,complete,1.0,False,False,False
thot shit,megan thee stallion,6889898.0,https://genius.com/Megan-thee-stallion-thot-shit-lyrics,/Megan-thee-stallion-thot-shit-lyrics,Thot Shit by Megan Thee Stallion,Megan Thee Stallion,863903.0,,21.0,complete,1.0,False,False,False
like a lady,lady a,6560631.0,https://genius.com/Lady-a-like-a-lady-lyrics,/Lady-a-like-a-lady-lyrics,Like A Lady by Lady A,Lady A,,,2.0,complete,1.0,False,False,False
get into it,doja cat,6897817.0,https://genius.com/Doja-cat-get-into-it-yuh-lyrics,/Doja-cat-get-into-it-yuh-lyrics,Get Into It (Yuh) by Doja Cat,Doja Cat,835937.0,,18.0,complete,0.9090909090909091,False,False,False
scorpio,moneybagg yo,7304238.0,https://genius.com/Moneybagg-yo-scorpio-lyrics,/Moneybagg-yo-scorpio-lyrics,Scorpio by Moneybagg Yo,Moneybagg Yo,63227.0,,12.0,complete,1.0,False,False,False
big energy,latto,7194975.0,https://genius.com/Latto-big-energy-lyrics,/Latto-big-energy-lyrics,Big Energy by Latto,Latto,261472.0,,8.0,complete,1.0,False,False,False
half of my hometown,kelsea ballerini featuring kenny chesney,5302365.0,https://genius.com/Kelsea-ballerini-half-of-my-hometown-lyrics,/Kelsea-ballerini-half-of-my-hometown-lyrics,half of my hometown by Kelsea Ballerini (Ft. Kenny Chesney),Kelsea Ballerini,21561.0,,3.0,complete,0.75,False,False,False
money,lisa,7164365.0,https://genius.com/Lisa-money-lyrics,/Lisa-money-lyrics,MONEY by LISA,LISA,993223.0,,5.0,complete,1.0,False,False,False
no friends in the industry,drake,7165568.0,https://genius.com/Drake-no-friends-in-the-industry-lyrics,/Drake-no-friends-in-the-industry-lyrics,No Friends In The Industry by Drake,Drake,492657.0,,16.0,complete,1.0,False,False,False
ya superame,grupo firme,7165276.0,https://genius.com/Grupo-firme-ya-superame-en-vivo-lyrics,/Grupo-firme-ya-superame-en-vivo-lyrics,Ya Supérame (En Vivo) by Grupo Firme,Grupo Firme,13560.0,,1.0,complete,0.8518518518518519,True,False,False
who's in your head,jonas brothers,7170690.0,https://genius.com/Jonas-brothers-whos-in-your-head-lyrics,/Jonas-brothers-whos-in-your-head-lyrics,Who's In Your Head by Jonas Brothers,Jonas Brothers,32942.0,,1.0,complete,0.9846153846153847,False,False,False
in the bible,drake featuring lil durk and giveon,,,,,,,,,,0.0,False,False,False
just about over you,priscilla block,5839025.0,https://genius.com/Priscilla-block-just-about-over-you-lyrics,/Priscilla-block-just-about-over-you-lyrics,Just About Over You by Priscilla Block,Priscilla Block,23287.0,,1.0,complete,1.0,False,False,False
to be loved by you,parker mccollum,6330816.0,https://genius.com/Parker-mccollum-to-be-loved-by-you-lyrics,/Parker-mccollum-to-be-loved-by-you-lyrics,To Be Loved By You by Parker McCollum,Parker McCollum,22586.0,,1.0,complete,1.0,False,False,False
ain't shit,doja cat,5427348.0,https://genius.com/Doja-cat-aint-shit-lyrics,/Doja-cat-aint-shit-lyrics,Ain't Shit by Doja Cat,Doja Cat,1224386.0,,22.0,complete,0.972972972972973,False,False,False
life goes on,oliver tree,4147348.0,https://genius.com/Oliver-tree-life-goes-on-lyrics,/Oliver-tree-life-goes-on-lyrics,Life Goes On by Oliver Tree,Oliver Tree,234743.0,,9.0,complete,1.0,False,False,False
come through,h.e.r. featuring chris brown,6730004.0,https://genius.com/Her-come-through-lyrics,/Her-come-through-lyrics,Come Through by H.E.R. (Ft. Chris Brown),H.E.R.,106568.0,,1.0,complete,0.6206896551724138,False,False,False
nevada,youngboy never broke again,6297520.0,https://genius.com/Youngboy-never-broke-again-nevada-lyrics,/Youngboy-never-broke-again-nevada-lyrics,Nevada by YoungBoy Never Broke Again,YoungBoy Never Broke Again,448678.0,,8.0,complete,1.0,False,False,False
leave before you love me,marshmello x jonas brothers,,,,,,,,,,0.0,False,False,False
deja vu,olivia rodrigo,6649389.0,https://genius.com/Olivia-rodrigo-deja-vu-lyrics,/Olivia-rodrigo-deja-vu-lyrics,deja vu by Olivia Rodrigo,Olivia Rodrigo,2939281.0,,11.0,complete,1.0,False,False,False
ex for a reason,summer walker and jt,7250716.0,https://genius.com/Summer-walker-jt-and-city-girls-ex-for-a-reason-lyrics,/Summer-walker-jt-and-city-girls-ex-for-a-reason-lyrics,"Ex For A Reason by Summer Walker, JT & City Girls",Summer Walker,176046.0,,2.0,complete,0.8923076923076924,False,False,False
late at night,roddy ricch,6797217.0,https://genius.com/Roddy-ricch-late-at-night-lyrics,/Roddy-ricch-late-at-night-lyrics,late at night by Roddy Ricch,Roddy Ricch,200794.0,,11.0,complete,1.0,False,True,False
livin it up,young thug with post malone and a$ap rocky,,,,,,,,,,0.0,False,False,False
stressed,young thug with j. cole and t-shyne,,,,,,,,,,0.0,False,False,False
rich n a shit,young thug with juice wrld,,,,,,,,,,0.0,False,False,False
yonaguni,bad bunny,6855744.0,https://genius.com/Bad-bunny-yonaguni-lyrics,/Bad-bunny-yonaguni-lyrics,Yonaguni by Bad Bunny,Bad Bunny,1331830.0,,7.0,complete,1.0,False,False,False
champagne poetry,drake,6859296.0,https://genius.com/Drake-champagne-poetry-lyrics,/Drake-champagne-poetry-lyrics,Champagne Poetry by Drake,Drake,861001.0,,27.0,complete,1.0,False,False,False
let somebody go,coldplay x selena gomez,,,,,,,,,,0.0,False,False,False
you time,scotty mccreery,5986667.0,https://genius.com/Scotty-mccreery-you-time-lyrics,/Scotty-mccreery-you-time-lyrics,You Time by Scotty McCreery,Scotty McCreery,,,0.0,complete,1.0,False,False,False
peepin out the window,young thug with future and bslime,7290157.0,https://genius.com/Young-thug-peepin-out-the-window-lyrics,/Young-thug-peepin-out-the-window-lyrics,Peepin Out The Window by Young Thug (Ft. BSlime & Future),Young Thug,56908.0,,3.0,complete,0.735632183908046,False,False,False
woo baby,pop smoke featuring chris brown,7003269.0,https://genius.com/Pop-smoke-woo-baby-lyrics,/Pop-smoke-woo-baby-lyrics,Woo Baby by Pop Smoke (Ft. Chris Brown),Pop Smoke,250619.0,,10.0,complete,0.6206896551724138,False,False,False
flocky flocky,don toliver featuring travis scott,6036291.0,https://genius.com/Don-toliver-flocky-flocky-lyrics,/Don-toliver-flocky-flocky-lyrics,Flocky Flocky by Don Toliver (Ft. Travis Scott),Don Toliver,157059.0,,7.0,complete,0.684931506849315,False,False,False
peaches,justin bieber featuring daniel caesar and giveon,,,,,,,,,,0.0,False,False,False
todo de ti,rauw alejandro,6797956.0,https://genius.com/Rauw-alejandro-todo-de-ti-lyrics,/Rauw-alejandro-todo-de-ti-lyrics,Todo De Ti by Rauw Alejandro,Rauw Alejandro,313320.0,,4.0,complete,1.0,False,False,False
drinkin' beer talkin' god amen,chase rice featuring florida georgia line,6222931.0,https://genius.com/Chase-rice-drinkin-beer-talkin-god-amen-lyrics,/Chase-rice-drinkin-beer-talkin-god-amen-lyrics,Drinkin' Beer. Talkin' God. Amen. by Chase Rice (Ft. Florida Georgia Line),Chase Rice,,,0.0,complete,0.7155963302752294,False,False,False
your heart,joyner lucas and j. cole,,,,,,,,,,0.0,False,False,False
summer of love,shawn mendes and tainy,,,,,,,,,,0.0,False,False,False
waves,luke bryan,6453476.0,https://genius.com/Luke-bryan-waves-lyrics,/Luke-bryan-waves-lyrics,Waves by Luke Bryan,Luke Bryan,6803.0,,0.0,complete,1.0,False,False,False
life support,youngboy never broke again,7186552.0,https://genius.com/Youngboy-never-broke-again-life-support-lyrics,/Youngboy-never-broke-again-life-support-lyrics,Life Support by YoungBoy Never Broke Again,YoungBoy Never Broke Again,233403.0,,8.0,complete,1.0,False,False,False
bad morning,youngboy never broke again,6008979.0,https://genius.com/Youngboy-never-broke-again-bad-morning-lyrics,/Youngboy-never-broke-again-bad-morning-lyrics,Bad Morning by YoungBoy Never Broke Again,YoungBoy Never Broke Again,116149.0,,16.0,complete,1.0,False,False,False
intro,meek mill,4106647.0,https://genius.com/Meek-mill-intro-lyrics,/Meek-mill-intro-lyrics,Intro by Meek Mill,Meek Mill,285737.0,,17.0,complete,1.0,False,False,False
drunk,elle king and miranda lambert,,,,,,,,,,0.0,False,False,False
butter,bts,6746160.0,https://genius.com/Bts-butter-lyrics,/Bts-butter-lyrics,Butter by BTS,BTS,3632561.0,,13.0,complete,1.0,False,True,False
hot,meek mill featuring moneybagg yo,,,,,,,,,,0.0,False,False,False
expensive pain,meek mill,7245027.0,https://genius.com/Meek-mill-expensive-pain-lyrics,/Meek-mill-expensive-pain-lyrics,Expensive Pain by Meek Mill,Meek Mill,62016.0,,16.0,complete,1.0,False,False,False
on my soul,meek mill,7245031.0,https://genius.com/Meek-mill-on-my-soul-lyrics,/Meek-mill-on-my-soul-lyrics,On My Soul by Meek Mill,Meek Mill,39427.0,,2.0,complete,1.0,False,False,False
blue note ii,meek mill featuring lil uzi vert,,,,,,,,,,0.0,False,False,False
outside,meek mill,7245030.0,https://genius.com/Meek-mill-outside-100-mph-lyrics,/Meek-mill-outside-100-mph-lyrics,Outside (100 MPH) by Meek Mill,Meek Mill,33657.0,,2.0,complete,0.8095238095238095,False,False,False
last one standing,"skylar grey, polo g, mozzy and eminem",,,,,,,,,,0.0,False,False,False
the feels,twice,7078775.0,https://genius.com/Twice-the-feels-lyrics,/Twice-the-feels-lyrics,The Feels by TWICE,TWICE,475786.0,,1.0,complete,1.0,False,False,False
me,meek mill featuring a$ap ferg,,,,,,,,,,0.0,False,False,False
love train,meek mill,7245784.0,https://genius.com/Meek-mill-love-train-lyrics,/Meek-mill-love-train-lyrics,Love Train by Meek Mill,Meek Mill,55984.0,,5.0,complete,1.0,False,False,False
feelin like tunechi,lil wayne featuring rich the kid,,,,,,,,,,0.0,False,False,False
ride for you,meek mill featuring kehlani,7245033.0,https://genius.com/Meek-mill-ride-for-you-lyrics,/Meek-mill-ride-for-you-lyrics,Ride for You by Meek Mill (Ft. Kehlani),Meek Mill,31581.0,,2.0,complete,0.7096774193548387,False,False,False
tsu,drake,5312186.0,https://genius.com/Drake-tsu-lyrics,/Drake-tsu-lyrics,TSU by Drake,Drake,914659.0,,21.0,complete,1.0,False,False,False
love all,drake featuring jay-z,5367025.0,https://genius.com/Drake-love-all-lyrics,/Drake-love-all-lyrics,Love All by Drake (Ft. JAY-Z),Drake,799809.0,,15.0,complete,0.6363636363636364,False,False,False
no where,youngboy never broke again,7225796.0,https://genius.com/Youngboy-never-broke-again-no-where-lyrics,/Youngboy-never-broke-again-no-where-lyrics,No Where by YoungBoy Never Broke Again,YoungBoy Never Broke Again,91031.0,,4.0,complete,1.0,False,False,False
on my side,youngboy never broke again,6976984.0,https://genius.com/Youngboy-never-broke-again-on-my-side-lyrics,/Youngboy-never-broke-again-on-my-side-lyrics,On My Side by YoungBoy Never Broke Again,YoungBoy Never Broke Again,18462.0,,4.0,complete,1.0,False,False,False
things a man oughta know,lainey wilson,4866851.0,https://genius.com/Lainey-wilson-things-a-man-oughta-know-lyrics,/Lainey-wilson-things-a-man-oughta-know-lyrics,Things a Man Oughta Know by Lainey Wilson,Lainey Wilson,46044.0,,1.0,complete,1.0,False,False,False
hold me down,youngboy never broke again,7225792.0,https://genius.com/Youngboy-never-broke-again-hold-me-down-lyrics,/Youngboy-never-broke-again-hold-me-down-lyrics,Hold Me Down by YoungBoy Never Broke Again,YoungBoy Never Broke Again,45694.0,,6.0,complete,1.0,False,False,False
50 shots,youngboy never broke again,6699932.0,https://genius.com/Youngboy-never-broke-again-50-shots-lyrics,/Youngboy-never-broke-again-50-shots-lyrics,50 Shots by YoungBoy Never Broke Again,YoungBoy Never Broke Again,44174.0,,6.0,complete,1.0,False,False,False
smoke strong,youngboy never broke again,6767462.0,https://genius.com/Youngboy-never-broke-again-smoke-strong-lyrics,/Youngboy-never-broke-again-smoke-strong-lyrics,Smoke Strong by YoungBoy Never Broke Again,YoungBoy Never Broke Again,36477.0,,8.0,complete,1.0,False,False,False
break or make me,youngboy never broke again,7225799.0,https://genius.com/Youngboy-never-broke-again-break-or-make-me-lyrics,/Youngboy-never-broke-again-break-or-make-me-lyrics,Break Or Make Me by YoungBoy Never Broke Again,YoungBoy Never Broke Again,86728.0,,2.0,complete,1.0,False,False,False
