date,rank,song,artist,last-week,peak-rank,weeks-on-board
2021-11-06,61,Not In The Mood,"Lil Tjay, Fivio Foreign & Kay Flock",0.0,61,1
2021-11-06,62,Pissed Me Off,Lil Durk,39.0,39,2
2021-11-06,63,Woman,Doja Cat,65.0,62,13
2021-11-06,64,Sand In My Boots,Morgan Wallen,74.0,32,15
2021-11-06,65,'Til You Can't,Cody Johnson,76.0,65,3
2021-11-06,66,Love Again,Dua Lipa,61.0,41,15
2021-11-06,67,Whiskey And Rain,Michael Ray,81.0,67,4
2021-11-06,68,One Mississippi,Kane Brown,80.0,68,5
2021-11-06,69,Switches & Dracs,Moneybagg Yo Featuring Lil Durk & EST Gee,0.0,69,1
2021-11-06,70,Jugaste y Sufri,Eslabon Armado Featuring DannyLux,77.0,69,4
2021-11-06,71,Too Easy,Gunna & Future,71.0,38,5
2021-11-06,72,Esta Danada,Ivan Cornejo,66.0,61,4
2021-11-06,73,Volvi,Aventura x Bad Bunny,75.0,22,13
2021-11-06,74,Tequila Little Time,Jon Pardi,83.0,74,3
2021-11-06,75,Whole Lotta Money,BIA Featuring Nicki Minaj,70.0,16,16
2021-11-06,76,2055,Sleepy Hallow,72.0,51,15
2021-11-06,77,Maybach,42 Dugg Featuring Future,85.0,68,5
2021-11-06,78,WFM,Realestk,67.0,67,3
2021-11-06,79,Poke It Out,Wale Featuring J. Cole,0.0,79,1
2021-11-06,80,Praise God,Kanye West,89.0,20,5
2021-11-06,81,Lo Siento BB:/,"Tainy, Bad Bunny & Julieta Venegas",73.0,51,3
2021-11-06,82,Freedom Was A Highway,Jimmie Allen & Brad Paisley,84.0,82,3
2021-11-06,83,For Tonight,Giveon,88.0,83,4
2021-11-06,84,Thot Shit,Megan Thee Stallion,82.0,16,20
2021-11-06,85,Like A Lady,Lady A,99.0,85,3
2021-11-06,86,Get Into It (Yuh),Doja Cat,86.0,68,12
2021-11-06,87,Scorpio,Moneybagg Yo,0.0,87,1
2021-11-06,88,Big Energy,Latto,0.0,88,1
2021-11-06,89,Half Of My Hometown,Kelsea Ballerini Featuring Kenny Chesney,0.0,89,1
2021-11-06,90,Money,Lisa,0.0,90,1
2021-11-06,91,No Friends In The Industry,Drake,87.0,11,8
2021-11-06,92,"Ya Superame (En Vivo Desde Culiacan, Sinaloa)",Grupo Firme,92.0,92,2
2021-11-06,93,Who's In Your Head,Jonas Brothers,96.0,93,3
2021-11-06,94,In The Bible,Drake Featuring Lil Durk & Giveon,94.0,7,8
2021-11-06,95,Just About Over You,Priscilla Block,100.0,95,3
2021-11-06,96,To Be Loved By You,Parker McCollum,0.0,96,1
2021-11-06,97,Ain't Shit,Doja Cat,0.0,24,14
2021-11-06,98,Life Goes On,Oliver Tree,0.0,91,2
2021-11-06,99,Come Through,H.E.R. Featuring Chris Brown,0.0,64,16
2021-11-06,100,Nevada,YoungBoy Never Broke Again,0.0,58,4
2021-10-30,1,Easy On Me,Adele,68.0,1,2
2021-10-30,2,Stay,The Kid LAROI & Justin Bieber,2.0,1,15
2021-10-30,3,Industry Baby,Lil Nas X & Jack Harlow,1.0,1,13
2021-10-30,4,Fancy Like,Walker Hayes,3.0,3,18
2021-10-30,5,Bad Habits,Ed Sheeran,4.0,2,17
2021-10-30,6,Way 2 Sexy,Drake Featuring Future & Young Thug,5.0,1,7
2021-10-30,7,Good 4 U,Olivia Rodrigo,6.0,1,23
2021-10-30,8,Levitating,Dua Lipa,8.0,2,55
2021-10-30,9,Shivers,Ed Sheeran,10.0,9,6
2021-10-30,10,Kiss Me More,Doja Cat Featuring SZA,7.0,3,28
2021-10-30,11,Need To Know,Doja Cat,11.0,11,19
2021-10-30,12,Essence,Wizkid Featuring Justin Bieber & Tems,9.0,9,16
2021-10-30,13,My Universe,Coldplay x BTS,18.0,1,4
2021-10-30,14,Heat Waves,Glass Animals,12.0,12,40
2021-10-30,15,Beggin',Maneskin,15.0,15,17
2021-10-30,16,You Right,Doja Cat & The Weeknd,16.0,11,17
2021-10-30,17,Save Your Tears,The Weeknd & Ariana Grande,13.0,1,45
2021-10-30,18,Knife Talk,Drake Featuring 21 Savage & Project Pat,14.0,4,7
2021-10-30,19,Who Want Smoke??,"Nardo Wick Featuring G Herbo, Lil Durk & 21 Savage",17.0,17,2
2021-10-30,20,Bubbly,Young Thug With Drake & Travis Scott,0.0,20,1
2021-10-30,21,Cold Heart (PNAU Remix),Elton John & Dua Lipa,25.0,21,7
2021-10-30,22,Traitor,Olivia Rodrigo,21.0,9,22
2021-10-30,23,If I Didn't Love You,Jason Aldean & Carrie Underwood,19.0,15,13
2021-10-30,24,Montero (Call Me By Your Name),Lil Nas X,20.0,1,30
2021-10-30,25,Chasing After You,Ryan Hurd With Maren Morris,23.0,23,25
2021-10-30,26,Girls Want Girls,Drake Featuring Lil Baby,22.0,2,7
2021-10-30,27,Take My Breath,The Weeknd,24.0,6,11
2021-10-30,28,Thats What I Want,Lil Nas X,26.0,10,5
2021-10-30,29,Pepas,Farruko,27.0,25,13
2021-10-30,30,Happier Than Ever,Billie Eilish,30.0,11,12
2021-10-30,31,Love Nwantiti (Ah Ah Ah),CKay,31.0,31,5
2021-10-30,32,Meet Me At Our Spot,THE ANXIETY: WILLOW & Tyler Cole,44.0,32,6
2021-10-30,33,Wockesha,Moneybagg Yo,29.0,20,26
2021-10-30,34,Buy Dirt,Jordan Davis Featuring Luke Bryan,40.0,34,11
2021-10-30,35,Memory I Don't Mess With,Lee Brice,35.0,33,13
2021-10-30,36,A-O-K,Tai Verdes,34.0,34,16
2021-10-30,37,My Boy,Elvie Shane,28.0,28,17
2021-10-30,38,Ghost,Justin Bieber,32.0,32,4
2021-10-30,39,Pissed Me Off,Lil Durk,0.0,39,1
2021-10-30,40,You Should Probably Leave,Chris Stapleton,43.0,40,16
2021-10-30,41,Cold As You,Luke Combs,45.0,41,12
2021-10-30,42,I Was On A Boat That Day,Old Dominion,37.0,37,16
2021-10-30,43,Sharing Locations,Meek Mill Featuring Lil Baby & Lil Durk,36.0,22,8
2021-10-30,44,Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),38.0,1,33
2021-10-30,45,Lets Go Brandon,Loza Alexander,0.0,45,1
2021-10-30,46,Gyalis,Capella Grey,46.0,38,12
2021-10-30,47,Wild Side,Normani Featuring Cardi B,52.0,14,14
2021-10-30,48,Fair Trade,Drake Featuring Travis Scott,39.0,3,7
2021-10-30,49,Leave Before You Love Me,Marshmello X Jonas Brothers,48.0,19,22
2021-10-30,50,Deja Vu,Olivia Rodrigo,42.0,3,29
2021-10-30,51,Thinking 'Bout You,Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter,55.0,51,10
2021-10-30,52,Family Ties,Baby Keem & Kendrick Lamar,49.0,18,8
2021-10-30,53,Have Mercy,Chloe,54.0,28,6
2021-10-30,54,Cold Beer Calling My Name,Jameson Rodgers Featuring Luke Combs,33.0,26,16
2021-10-30,55,Same Boat,Zac Brown Band,64.0,55,5
2021-10-30,56,Ex For A Reason,Summer Walker & JT,0.0,56,1
2021-10-30,57,Better Days,NEIKED X Mae Muller X Polo G,0.0,57,1
2021-10-30,58,Hurricane,Kanye West,50.0,6,8
2021-10-30,59,Baddest,"Yung Bleu, Chris Brown & 2 Chainz",56.0,56,12
2021-10-30,60,Late At Night,Roddy Ricch,57.0,20,20
2021-10-30,61,Love Again,Dua Lipa,47.0,41,14
2021-10-30,62,Memory,Kane Brown X blackbear,60.0,50,15
2021-10-30,63,Chosen,Blxst & Tyga Featuring Ty Dolla $ign,65.0,63,4
2021-10-30,64,Knowing You,Kenny Chesney,62.0,62,10
2021-10-30,65,Woman,Doja Cat,63.0,62,12
2021-10-30,66,Esta Danada,Ivan Cornejo,61.0,61,3
2021-10-30,67,WFM,Realestk,75.0,67,2
2021-10-30,68,Livin It Up,Young Thug With Post Malone & A$AP Rocky,0.0,68,1
2021-10-30,69,Stressed,Young Thug With J. Cole & T-Shyne,0.0,69,1
2021-10-30,70,Whole Lotta Money,BIA Featuring Nicki Minaj,59.0,16,15
2021-10-30,71,Too Easy,Gunna & Future,66.0,38,4
2021-10-30,72,2055,Sleepy Hallow,58.0,51,14
2021-10-30,73,Lo Siento BB:/,"Tainy, Bad Bunny & Julieta Venegas",51.0,51,2
2021-10-30,74,Sand In My Boots,Morgan Wallen,72.0,32,14
2021-10-30,75,Volvi,Aventura x Bad Bunny,67.0,22,12
2021-10-30,76,'Til You Can't,Cody Johnson,94.0,76,2
2021-10-30,77,Jugaste y Sufri,Eslabon Armado Featuring DannyLux,69.0,69,3
2021-10-30,78,Rich N***a Shit,Young Thug With Juice WRLD,0.0,78,1
2021-10-30,79,Yonaguni,Bad Bunny,76.0,10,20
2021-10-30,80,One Mississippi,Kane Brown,78.0,73,4
2021-10-30,81,Whiskey And Rain,Michael Ray,82.0,81,3
2021-10-30,82,Thot Shit,Megan Thee Stallion,71.0,16,19
2021-10-30,83,Tequila Little Time,Jon Pardi,86.0,83,2
2021-10-30,84,Freedom Was A Highway,Jimmie Allen & Brad Paisley,88.0,84,2
2021-10-30,85,Maybach,42 Dugg Featuring Future,85.0,68,4
2021-10-30,86,Get Into It (Yuh),Doja Cat,79.0,68,11
2021-10-30,87,No Friends In The Industry,Drake,74.0,11,7
2021-10-30,88,For Tonight,Giveon,98.0,88,3
2021-10-30,89,Praise God,Kanye West,99.0,20,4
2021-10-30,90,Champagne Poetry,Drake,77.0,4,7
2021-10-30,91,Let Somebody Go,Coldplay X Selena Gomez,0.0,91,1
2021-10-30,92,"Ya Superame (En Vivo Desde Culiacan, Sinaloa)",Grupo Firme,0.0,92,1
2021-10-30,93,You Time,Scotty McCreery,80.0,50,12
2021-10-30,94,In The Bible,Drake Featuring Lil Durk & Giveon,83.0,7,7
2021-10-30,95,Peepin Out The Window,Young Thug With Future & BSlime,0.0,95,1
2021-10-30,96,Who's In Your Head,Jonas Brothers,95.0,95,2
2021-10-30,97,Woo Baby,Pop Smoke Featuring Chris Brown,92.0,64,3
2021-10-30,98,Flocky Flocky,Don Toliver Featuring Travis Scott,53.0,53,2
2021-10-30,99,Like A Lady,Lady A,90.0,90,2
2021-10-30,100,Just About Over You,Priscilla Block,97.0,97,2
2021-10-23,1,Industry Baby,Lil Nas X & Jack Harlow,2.0,1,12
2021-10-23,2,Stay,The Kid LAROI & Justin Bieber,1.0,1,14
2021-10-23,3,Fancy Like,Walker Hayes,3.0,3,17
2021-10-23,4,Bad Habits,Ed Sheeran,5.0,2,16
2021-10-23,5,Way 2 Sexy,Drake Featuring Future & Young Thug,4.0,1,6
2021-10-23,6,Good 4 U,Olivia Rodrigo,6.0,1,22
2021-10-23,7,Kiss Me More,Doja Cat Featuring SZA,7.0,3,27
2021-10-23,8,Levitating,Dua Lipa,8.0,2,54
2021-10-23,9,Essence,Wizkid Featuring Justin Bieber & Tems,10.0,9,15
2021-10-23,10,Shivers,Ed Sheeran,11.0,10,5
2021-10-23,11,Need To Know,Doja Cat,13.0,11,18
2021-10-23,12,Heat Waves,Glass Animals,15.0,12,39
2021-10-23,13,Save Your Tears,The Weeknd & Ariana Grande,14.0,1,44
2021-10-23,14,Knife Talk,Drake Featuring 21 Savage & Project Pat,9.0,4,6
2021-10-23,15,Beggin',Maneskin,16.0,15,16
2021-10-23,16,You Right,Doja Cat & The Weeknd,18.0,11,16
2021-10-23,17,Who Want Smoke??,"Nardo Wick Featuring G Herbo, Lil Durk & 21 Savage",0.0,17,1
2021-10-23,18,My Universe,Coldplay x BTS,12.0,1,3
2021-10-23,19,If I Didn't Love You,Jason Aldean & Carrie Underwood,19.0,15,12
2021-10-23,20,Montero (Call Me By Your Name),Lil Nas X,17.0,1,29
2021-10-23,21,Traitor,Olivia Rodrigo,21.0,9,21
2021-10-23,22,Girls Want Girls,Drake Featuring Lil Baby,20.0,2,6
2021-10-23,23,Chasing After You,Ryan Hurd With Maren Morris,24.0,23,24
2021-10-23,24,Take My Breath,The Weeknd,22.0,6,10
2021-10-23,25,Cold Heart (PNAU Remix),Elton John & Dua Lipa,32.0,25,6
2021-10-23,26,Thats What I Want,Lil Nas X,26.0,10,4
2021-10-23,27,Pepas,Farruko,25.0,25,12
2021-10-23,28,My Boy,Elvie Shane,42.0,28,16
2021-10-23,29,Wockesha,Moneybagg Yo,27.0,20,25
2021-10-23,30,Happier Than Ever,Billie Eilish,29.0,11,11
2021-10-23,31,Love Nwantiti (Ah Ah Ah),CKay,35.0,31,4
2021-10-23,32,Ghost,Justin Bieber,93.0,32,3
2021-10-23,33,Cold Beer Calling My Name,Jameson Rodgers Featuring Luke Combs,28.0,26,15
2021-10-23,34,A-O-K,Tai Verdes,34.0,34,15
2021-10-23,35,Memory I Don't Mess With,Lee Brice,33.0,33,12
2021-10-23,36,Sharing Locations,Meek Mill Featuring Lil Baby & Lil Durk,23.0,22,7
2021-10-23,37,I Was On A Boat That Day,Old Dominion,45.0,37,15
2021-10-23,38,Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),37.0,1,32
2021-10-23,39,Fair Trade,Drake Featuring Travis Scott,30.0,3,6
2021-10-23,40,Buy Dirt,Jordan Davis Featuring Luke Bryan,43.0,40,10
2021-10-23,41,Peaches,Justin Bieber Featuring Daniel Caesar & Giveon,39.0,1,30
2021-10-23,42,Deja Vu,Olivia Rodrigo,31.0,3,28
2021-10-23,43,You Should Probably Leave,Chris Stapleton,51.0,43,15
2021-10-23,44,Meet Me At Our Spot,THE ANXIETY: WILLOW & Tyler Cole,47.0,44,5
2021-10-23,45,Cold As You,Luke Combs,53.0,45,11
2021-10-23,46,Gyalis,Capella Grey,38.0,38,11
2021-10-23,47,Love Again,Dua Lipa,41.0,41,13
2021-10-23,48,Leave Before You Love Me,Marshmello X Jonas Brothers,40.0,19,21
2021-10-23,49,Family Ties,Baby Keem & Kendrick Lamar,46.0,18,7
2021-10-23,50,Hurricane,Kanye West,44.0,6,7
2021-10-23,51,Lo Siento BB:/,"Tainy, Bad Bunny & Julieta Venegas",0.0,51,1
2021-10-23,52,Wild Side,Normani Featuring Cardi B,48.0,14,13
2021-10-23,53,Flocky Flocky,Don Toliver Featuring Travis Scott,0.0,53,1
2021-10-23,54,Have Mercy,Chloe,50.0,28,5
2021-10-23,55,Thinking 'Bout You,Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter,57.0,55,9
2021-10-23,56,Baddest,"Yung Bleu, Chris Brown & 2 Chainz",56.0,56,11
2021-10-23,57,Late At Night,Roddy Ricch,49.0,20,19
2021-10-23,58,2055,Sleepy Hallow,63.0,51,13
2021-10-23,59,Whole Lotta Money,BIA Featuring Nicki Minaj,52.0,16,14
2021-10-23,60,Memory,Kane Brown X blackbear,68.0,50,14
2021-10-23,61,Esta Danada,Ivan Cornejo,96.0,61,2
2021-10-23,62,Knowing You,Kenny Chesney,67.0,62,9
2021-10-23,63,Woman,Doja Cat,62.0,62,11
2021-10-23,64,Same Boat,Zac Brown Band,77.0,64,4
2021-10-23,65,Chosen,Blxst & Tyga Featuring Ty Dolla $ign,80.0,65,3
2021-10-23,66,Too Easy,Gunna & Future,59.0,38,3
2021-10-23,67,Volvi,Aventura x Bad Bunny,73.0,22,11
2021-10-23,68,Easy On Me,Adele,0.0,68,1
2021-10-23,69,Jugaste y Sufri,Eslabon Armado Featuring DannyLux,75.0,69,2
2021-10-23,70,Todo de Ti,Rauw Alejandro,74.0,32,20
2021-10-23,71,Thot Shit,Megan Thee Stallion,70.0,16,18
2021-10-23,72,Sand In My Boots,Morgan Wallen,94.0,32,13
2021-10-23,73,Drinkin' Beer. Talkin' God. Amen.,Chase Rice Featuring Florida Georgia Line,71.0,24,20
2021-10-23,74,No Friends In The Industry,Drake,64.0,11,6
2021-10-23,75,WFM,Realestk,0.0,75,1
2021-10-23,76,Yonaguni,Bad Bunny,82.0,10,19
2021-10-23,77,Champagne Poetry,Drake,65.0,4,6
2021-10-23,78,One Mississippi,Kane Brown,92.0,73,3
2021-10-23,79,Get Into It (Yuh),Doja Cat,85.0,68,10
2021-10-23,80,You Time,Scotty McCreery,54.0,50,11
2021-10-23,81,Your Heart,Joyner Lucas & J. Cole,61.0,32,3
2021-10-23,82,Whiskey And Rain,Michael Ray,97.0,82,2
2021-10-23,83,In The Bible,Drake Featuring Lil Durk & Giveon,79.0,7,6
2021-10-23,84,Summer Of Love,Shawn Mendes & Tainy,84.0,48,8
2021-10-23,85,Maybach,42 Dugg Featuring Future,0.0,68,3
2021-10-23,86,Tequila Little Time,Jon Pardi,0.0,86,1
2021-10-23,87,Waves,Luke Bryan,87.0,24,17
2021-10-23,88,Freedom Was A Highway,Jimmie Allen & Brad Paisley,0.0,88,1
2021-10-23,89,Nevada,YoungBoy Never Broke Again,86.0,58,3
2021-10-23,90,Like A Lady,Lady A,0.0,90,1
2021-10-23,91,Life Goes On,Oliver Tree,0.0,91,1
2021-10-23,92,Woo Baby,Pop Smoke Featuring Chris Brown,0.0,64,2
2021-10-23,93,Life Support,YoungBoy Never Broke Again,88.0,48,5
2021-10-23,94,'Til You Can't,Cody Johnson,0.0,94,1
2021-10-23,95,Who's In Your Head,Jonas Brothers,0.0,95,1
2021-10-23,96,Ain't Shit,Doja Cat,0.0,24,13
2021-10-23,97,Just About Over You,Priscilla Block,0.0,97,1
2021-10-23,98,For Tonight,Giveon,0.0,91,2
2021-10-23,99,Praise God,Kanye West,0.0,20,3
2021-10-23,100,Bad Morning,YoungBoy Never Broke Again,81.0,28,3
2021-10-16,1,Stay,The Kid LAROI & Justin Bieber,2.0,1,13
2021-10-16,2,Industry Baby,Lil Nas X & Jack Harlow,3.0,2,11
2021-10-16,3,Fancy Like,Walker Hayes,5.0,3,16
2021-10-16,4,Way 2 Sexy,Drake Featuring Future & Young Thug,4.0,1,5
2021-10-16,5,Bad Habits,Ed Sheeran,6.0,2,15
2021-10-16,6,Good 4 U,Olivia Rodrigo,7.0,1,21
2021-10-16,7,Kiss Me More,Doja Cat Featuring SZA,8.0,3,26
2021-10-16,8,Levitating,Dua Lipa,10.0,2,53
2021-10-16,9,Knife Talk,Drake Featuring 21 Savage & Project Pat,9.0,4,5
2021-10-16,10,Essence,Wizkid Featuring Justin Bieber & Tems,11.0,10,14
2021-10-16,11,Shivers,Ed Sheeran,14.0,11,4
2021-10-16,12,My Universe,Coldplay x BTS,1.0,1,2
2021-10-16,13,Need To Know,Doja Cat,16.0,13,17
2021-10-16,14,Save Your Tears,The Weeknd & Ariana Grande,12.0,1,43
2021-10-16,15,Heat Waves,Glass Animals,15.0,15,38
2021-10-16,16,Beggin',Maneskin,19.0,16,15
2021-10-16,17,Montero (Call Me By Your Name),Lil Nas X,13.0,1,28
2021-10-16,18,You Right,Doja Cat & The Weeknd,18.0,11,15
2021-10-16,19,If I Didn't Love You,Jason Aldean & Carrie Underwood,21.0,15,11
2021-10-16,20,Girls Want Girls,Drake Featuring Lil Baby,17.0,2,5
2021-10-16,21,Traitor,Olivia Rodrigo,25.0,9,20
2021-10-16,22,Take My Breath,The Weeknd,22.0,6,9
2021-10-16,23,Sharing Locations,Meek Mill Featuring Lil Baby & Lil Durk,71.0,22,6
2021-10-16,24,Chasing After You,Ryan Hurd With Maren Morris,27.0,24,23
2021-10-16,25,Pepas,Farruko,29.0,25,11
2021-10-16,26,Thats What I Want,Lil Nas X,24.0,10,3
2021-10-16,27,Wockesha,Moneybagg Yo,20.0,20,24
2021-10-16,28,Cold Beer Calling My Name,Jameson Rodgers Featuring Luke Combs,26.0,26,14
2021-10-16,29,Happier Than Ever,Billie Eilish,31.0,11,10
2021-10-16,30,Fair Trade,Drake Featuring Travis Scott,23.0,3,5
2021-10-16,31,Deja Vu,Olivia Rodrigo,30.0,3,27
2021-10-16,32,Cold Heart (PNAU Remix),Elton John & Dua Lipa,46.0,32,5
2021-10-16,33,Memory I Don't Mess With,Lee Brice,43.0,33,11
2021-10-16,34,A-O-K,Tai Verdes,35.0,34,14
2021-10-16,35,Love Nwantiti (Ah Ah Ah),CKay,50.0,35,3
2021-10-16,36,Intro (Hate On Me),Meek Mill,0.0,36,1
2021-10-16,37,Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),33.0,1,31
2021-10-16,38,Gyalis,Capella Grey,64.0,38,10
2021-10-16,39,Peaches,Justin Bieber Featuring Daniel Caesar & Giveon,41.0,1,29
2021-10-16,40,Leave Before You Love Me,Marshmello X Jonas Brothers,39.0,19,20
2021-10-16,41,Love Again,Dua Lipa,57.0,41,12
2021-10-16,42,My Boy,Elvie Shane,66.0,42,15
2021-10-16,43,Buy Dirt,Jordan Davis Featuring Luke Bryan,55.0,43,9
2021-10-16,44,Hurricane,Kanye West,34.0,6,6
2021-10-16,45,I Was On A Boat That Day,Old Dominion,49.0,45,14
2021-10-16,46,Family Ties,Baby Keem & Kendrick Lamar,42.0,18,6
2021-10-16,47,Meet Me At Our Spot,THE ANXIETY: WILLOW & Tyler Cole,47.0,44,4
2021-10-16,48,Wild Side,Normani Featuring Cardi B,51.0,14,12
2021-10-16,49,Late At Night,Roddy Ricch,44.0,20,18
2021-10-16,50,Have Mercy,Chloe,56.0,28,4
2021-10-16,51,You Should Probably Leave,Chris Stapleton,81.0,51,14
2021-10-16,52,Whole Lotta Money,BIA Featuring Nicki Minaj,52.0,16,13
2021-10-16,53,Cold As You,Luke Combs,65.0,53,10
2021-10-16,54,You Time,Scotty McCreery,63.0,50,10
2021-10-16,55,Drunk (And I Don't Wanna Go Home),Elle King & Miranda Lambert,68.0,53,24
2021-10-16,56,Baddest,"Yung Bleu, Chris Brown & 2 Chainz",77.0,56,10
2021-10-16,57,Thinking 'Bout You,Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter,76.0,57,8
2021-10-16,58,Butter,BTS,36.0,1,20
2021-10-16,59,Too Easy,Gunna & Future,38.0,38,2
2021-10-16,60,Hot,Meek Mill Featuring Moneybagg Yo,0.0,60,1
2021-10-16,61,Your Heart,Joyner Lucas & J. Cole,32.0,32,2
2021-10-16,62,Woman,Doja Cat,75.0,62,10
2021-10-16,63,2055,Sleepy Hallow,78.0,51,12
2021-10-16,64,No Friends In The Industry,Drake,60.0,11,5
2021-10-16,65,Champagne Poetry,Drake,54.0,4,5
2021-10-16,66,Expensive Pain,Meek Mill,0.0,66,1
2021-10-16,67,Knowing You,Kenny Chesney,90.0,67,8
2021-10-16,68,Memory,Kane Brown X blackbear,79.0,50,13
2021-10-16,69,On My Soul,Meek Mill,0.0,69,1
2021-10-16,70,Thot Shit,Megan Thee Stallion,73.0,16,17
2021-10-16,71,Drinkin' Beer. Talkin' God. Amen.,Chase Rice Featuring Florida Georgia Line,82.0,24,19
2021-10-16,72,Blue Note$ II,Meek Mill Featuring Lil Uzi Vert,0.0,72,2
2021-10-16,73,Volvi,Aventura x Bad Bunny,85.0,22,10
2021-10-16,74,Todo de Ti,Rauw Alejandro,86.0,32,19
2021-10-16,75,Jugaste y Sufri,Eslabon Armado Featuring DannyLux,0.0,75,1
2021-10-16,76,Outside (100 MPH),Meek Mill,0.0,76,1
2021-10-16,77,Same Boat,Zac Brown Band,95.0,77,3
2021-10-16,78,Last One Standing,"Skylar Grey, Polo G, Mozzy & Eminem",0.0,78,1
