date,rank,song,artist,last-week,peak-rank,weeks-on-board,song_raw,artist_raw,paren_tag,version_type,song_base,artist_canon,artist_key,year,genius_id,genius_url,genius_path,genius_full_title,genius_primary_artist,genius_pageviews,genius_pyongs,genius_annotation_count,genius_lyrics_state,match_score,title_has_spanish_char,title_has_spanish_word,genius_has_spanish_translation_hint
2021-11-06,11,Essence,Wizkid Featuring Justin Bieber & Tems,12.0,9,17,Essence,Wizkid Featuring Justin Bieber & Tems,,none,essence,wizkid featuring justin bieber and tems,wizkid featuring justin bieber and tems,2021,,,,,,,,,,0.0,False,False,False
2021-11-06,12,Kiss Me More,Doja Cat Featuring SZA,10.0,3,29,Kiss Me More,Doja Cat Featuring SZA,,none,kiss me more,doja cat featuring sza,doja cat featuring sza,2021,,,,,,,,,,0.0,False,False,False
2021-11-06,13,Heat Waves,Glass Animals,14.0,12,41,Heat Waves,Glass Animals,,none,heat waves,glass animals,glass animals,2021,5318313.0,https://genius.com/Glass-animals-heat-waves-lyrics,/Glass-animals-heat-waves-lyrics,Heat Waves by Glass Animals,Glass Animals,1506595.0,,19.0,complete,1.0,False,False,False
2021-11-06,14,Beggin',Maneskin,15.0,14,18,Beggin',Maneskin,,none,beggin',maneskin,maneskin,2021,3446542.0,https://genius.com/Maneskin-beggin-lyrics,/Maneskin-beggin-lyrics,Beggin' by Måneskin,Måneskin,749207.0,,6.0,complete,1.0,False,False,False
2021-11-06,15,Cold Heart (PNAU Remix),Elton John & Dua Lipa,21.0,15,8,Cold Heart (PNAU Remix),Elton John & Dua Lipa,PNAU Remix,remix,cold heart,elton john and dua lipa,elton john and dua lipa,2021,,,,,,,,,,0.0,False,False,False
2021-11-06,16,You Right,Doja Cat & The Weeknd,16.0,11,18,You Right,Doja Cat & The Weeknd,,none,you right,doja cat and the weeknd,doja cat and the weeknd,2021,,,,,,,,,,0.0,False,False,False
2021-11-06,17,Save Your Tears,The Weeknd & Ariana Grande,17.0,1,46,Save Your Tears,The Weeknd & Ariana Grande,,none,save your tears,the weeknd and ariana grande,weeknd and ariana grande,2021,,,,,,,,,,0.0,False,False,False
2021-11-06,18,If I Didn't Love You,Jason Aldean & Carrie Underwood,23.0,15,14,If I Didn't Love You,Jason Aldean & Carrie Underwood,,none,if i didn't love you,jason aldean and carrie underwood,jason aldean and carrie underwood,2021,8795728.0,https://genius.com/The-westlands-if-i-didnt-love-you-jason-aldean-and-carrie-underwood-cover-lyrics,/The-westlands-if-i-didnt-love-you-jason-aldean-and-carrie-underwood-cover-lyrics,If I Didn't Love You (Jason Aldean and Carrie Underwood cover) by The Westlands,The Westlands,,,0.0,complete,0.8346456692913385,False,False,False
2021-11-06,19,Traitor,Olivia Rodrigo,22.0,9,23,Traitor,Olivia Rodrigo,,none,traitor,olivia rodrigo,olivia rodrigo,2021,6702211.0,https://genius.com/Olivia-rodrigo-traitor-lyrics,/Olivia-rodrigo-traitor-lyrics,traitor by Olivia Rodrigo,Olivia Rodrigo,1543071.0,,6.0,complete,1.0,False,False,False
2021-11-06,20,My Universe,Coldplay x BTS,13.0,1,5,My Universe,Coldplay x BTS,,none,my universe,coldplay x bts,coldplay x bts,2021,,,,,,,,,,0.0,False,False,False
2021-11-06,21,Who Want Smoke??,"Nardo Wick Featuring G Herbo, Lil Durk & 21 Savage",19.0,17,3,Who Want Smoke??,"Nardo Wick Featuring G Herbo, Lil Durk & 21 Savage",,none,who want smoke,"nardo wick featuring g herbo, lil durk and 21 savage","nardo wick featuring g herbo, lil durk and 21 savage",2021,,,,,,,,,,0.0,False,False,False
2021-11-06,22,Knife Talk,Drake Featuring 21 Savage & Project Pat,18.0,4,8,Knife Talk,Drake Featuring 21 Savage & Project Pat,,none,knife talk,drake featuring 21 savage and project pat,drake featuring 21 savage and project pat,2021,,,,,,,,,,0.0,False,False,False
2021-11-06,23,Meet Me At Our Spot,THE ANXIETY: WILLOW & Tyler Cole,32.0,23,7,Meet Me At Our Spot,THE ANXIETY: WILLOW & Tyler Cole,,none,meet me at our spot,the anxiety: willow and tyler cole,anxiety: willow and tyler cole,2021,,,,,,,,,,0.0,False,False,False
2021-11-06,24,Montero (Call Me By Your Name),Lil Nas X,24.0,1,31,Montero (Call Me By Your Name),Lil Nas X,Call Me By Your Name,other,montero,lil nas x,lil nas x,2021,5751286.0,https://genius.com/Lil-nas-x-montero-call-me-by-your-name-lyrics,/Lil-nas-x-montero-call-me-by-your-name-lyrics,MONTERO (Call Me By Your Name) by Lil Nas X,Lil Nas X,2621619.0,,13.0,complete,0.6181818181818182,False,True,False
2021-11-06,25,Chasing After You,Ryan Hurd With Maren Morris,25.0,23,26,Chasing After You,Ryan Hurd With Maren Morris,,none,chasing after you,ryan hurd with maren morris,ryan hurd with maren morris,2021,6469514.0,https://genius.com/Ryan-hurd-and-maren-morris-chasing-after-you-lyrics,/Ryan-hurd-and-maren-morris-chasing-after-you-lyrics,Chasing After You by Ryan Hurd & Maren Morris,Ryan Hurd,112032.0,,1.0,complete,0.75,False,True,False
2021-11-06,26,Girls Want Girls,Drake Featuring Lil Baby,26.0,2,8,Girls Want Girls,Drake Featuring Lil Baby,,none,girls want girls,drake featuring lil baby,drake featuring lil baby,2021,7165581.0,https://genius.com/Drake-girls-want-girls-lyrics,/Drake-girls-want-girls-lyrics,Girls Want Girls by Drake (Ft. Lil Baby),Drake,1062204.0,,6.0,complete,0.6984126984126984,False,False,False
2021-11-06,27,Moth To A Flame,Swedish House Mafia & The Weeknd,0.0,27,1,Moth To A Flame,Swedish House Mafia & The Weeknd,,none,moth to a flame,swedish house mafia and the weeknd,swedish house mafia and the weeknd,2021,,,,,,,,,,0.0,False,False,False
2021-11-06,28,Let's Go Brandon,Bryson Gray Featuring Tyson James & Chandler Crump,0.0,28,1,Let's Go Brandon,Bryson Gray Featuring Tyson James & Chandler Crump,,none,let's go brandon,bryson gray featuring tyson james and chandler crump,bryson gray featuring tyson james and chandler crump,2021,,,,,,,,,,0.0,False,False,False
2021-11-06,29,Thats What I Want,Lil Nas X,28.0,10,6,Thats What I Want,Lil Nas X,,none,thats what i want,lil nas x,lil nas x,2021,7105950.0,https://genius.com/Lil-nas-x-thats-what-i-want-lyrics,/Lil-nas-x-thats-what-i-want-lyrics,THATS WHAT I WANT by Lil Nas X,Lil Nas X,569383.0,,13.0,complete,1.0,False,False,False
2021-11-06,30,Pepas,Farruko,29.0,25,14,Pepas,Farruko,,none,pepas,farruko,farruko,2021,6942022.0,https://genius.com/Farruko-pepas-lyrics,/Farruko-pepas-lyrics,Pepas by Farruko,Farruko,197815.0,,1.0,complete,1.0,False,False,False
2021-11-06,31,Love Nwantiti (Ah Ah Ah),CKay,31.0,31,6,Love Nwantiti (Ah Ah Ah),CKay,Ah Ah Ah,other,love nwantiti,ckay,ckay,2021,7555461.0,https://genius.com/Ckay-love-nwantiti-remix-lyrics,/Ckay-love-nwantiti-remix-lyrics,Love Nwantiti Remix by CKay (Ft. ElGrandeToto),CKay,36771.0,,0.0,complete,0.8571428571428571,False,True,False
2021-11-06,32,Take My Breath,The Weeknd,27.0,6,12,Take My Breath,The Weeknd,,none,take my breath,the weeknd,weeknd,2021,7065552.0,https://genius.com/The-weeknd-take-my-breath-lyrics,/The-weeknd-take-my-breath-lyrics,Take My Breath by The Weeknd,The Weeknd,437231.0,,9.0,complete,1.0,False,False,False
2021-11-06,33,Happier Than Ever,Billie Eilish,30.0,11,13,Happier Than Ever,Billie Eilish,,none,happier than ever,billie eilish,billie eilish,2021,6533253.0,https://genius.com/Billie-eilish-happier-than-ever-lyrics,/Billie-eilish-happier-than-ever-lyrics,Happier Than Ever by Billie Eilish,Billie Eilish,4075545.0,,10.0,complete,1.0,False,False,False
2021-11-06,34,Wockesha,Moneybagg Yo,33.0,20,27,Wockesha,Moneybagg Yo,,none,wockesha,moneybagg yo,moneybagg yo,2021,6728862.0,https://genius.com/Moneybagg-yo-wockesha-lyrics,/Moneybagg-yo-wockesha-lyrics,Wockesha by Moneybagg Yo,Moneybagg Yo,340284.0,,9.0,complete,1.0,False,False,False
2021-11-06,35,Better Days,NEIKED X Mae Muller X Polo G,57.0,35,2,Better Days,NEIKED X Mae Muller X Polo G,,none,better days,neiked x mae muller x polo g,neiked x mae muller x polo g,2021,,,,,,,,,,0.0,False,False,False
2021-11-06,36,Buy Dirt,Jordan Davis Featuring Luke Bryan,34.0,34,12,Buy Dirt,Jordan Davis Featuring Luke Bryan,,none,buy dirt,jordan davis featuring luke bryan,jordan davis featuring luke bryan,2021,6774548.0,https://genius.com/Jordan-davis-buy-dirt-lyrics,/Jordan-davis-buy-dirt-lyrics,Buy Dirt by Jordan Davis (Ft. Luke Bryan),Jordan Davis,53678.0,,6.0,complete,0.6666666666666666,False,False,False
2021-11-06,37,Ghost,Justin Bieber,38.0,32,5,Ghost,Justin Bieber,,none,ghost,justin bieber,justin bieber,2021,6576448.0,https://genius.com/Justin-bieber-ghost-lyrics,/Justin-bieber-ghost-lyrics,Ghost by Justin Bieber,Justin Bieber,698161.0,,6.0,complete,1.0,False,False,False
2021-11-06,38,Lets Go Brandon,Loza Alexander,45.0,38,2,Lets Go Brandon,Loza Alexander,,none,lets go brandon,loza alexander,loza alexander,2021,7296965.0,https://genius.com/Loza-alexander-lets-go-brandon-lyrics,/Loza-alexander-lets-go-brandon-lyrics,Lets Go Brandon by Loza Alexander,Loza Alexander,22161.0,,6.0,complete,1.0,False,False,False
2021-11-06,39,Cold As You,Luke Combs,41.0,39,13,Cold As You,Luke Combs,,none,cold as you,luke combs,luke combs,2021,5563533.0,https://genius.com/Luke-combs-cold-as-you-lyrics,/Luke-combs-cold-as-you-lyrics,Cold As You by Luke Combs,Luke Combs,45527.0,,2.0,complete,1.0,False,False,False
2021-11-06,40,A-O-K,Tai Verdes,36.0,34,17,A-O-K,Tai Verdes,,none,a-o-k,tai verdes,tai verdes,2021,6708241.0,https://genius.com/Tai-verdes-a-o-k-lyrics,/Tai-verdes-a-o-k-lyrics,A-O-K by Tai Verdes,Tai Verdes,228770.0,,13.0,complete,1.0,False,False,False
2021-11-06,41,You Should Probably Leave,Chris Stapleton,40.0,40,17,You Should Probably Leave,Chris Stapleton,,none,you should probably leave,chris stapleton,chris stapleton,2021,3096724.0,https://genius.com/Chris-stapleton-you-should-probably-leave-lyrics,/Chris-stapleton-you-should-probably-leave-lyrics,You Should Probably Leave by Chris Stapleton,Chris Stapleton,172062.0,,7.0,complete,1.0,False,False,False
2021-11-06,42,Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),44.0,1,34,Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),,none,leave the door open,silk sonic (bruno mars and anderson .paak),silk sonic (bruno mars and anderson .paak),2021,,,,,,,,,,0.0,False,False,False
2021-11-06,43,Thinking 'Bout You,Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter,51.0,43,11,Thinking 'Bout You,Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter,,none,thinking 'bout you,dustin lynch featuring lauren alaina or mackenzie porter,dustin lynch featuring lauren alaina or mackenzie porter,2021,,,,,,,,,,0.0,False,False,False
2021-11-06,44,Memory I Don't Mess With,Lee Brice,35.0,33,14,Memory I Don't Mess With,Lee Brice,,none,memory i don't mess with,lee brice,lee brice,2021,5968685.0,https://genius.com/Lee-brice-memory-i-dont-mess-with-lyrics,/Lee-brice-memory-i-dont-mess-with-lyrics,Memory I Don't Mess With by Lee Brice,Lee Brice,22147.0,,0.0,complete,0.9850746268656716,False,False,False
2021-11-06,45,Bubbly,Young Thug With Drake & Travis Scott,20.0,20,2,Bubbly,Young Thug With Drake & Travis Scott,,none,bubbly,young thug with drake and travis scott,young thug with drake and travis scott,2021,,,,,,,,,,0.0,False,False,False
2021-11-06,46,Wild Side,Normani Featuring Cardi B,47.0,14,15,Wild Side,Normani Featuring Cardi B,,none,wild side,normani featuring cardi b,normani featuring cardi b,2021,6488157.0,https://genius.com/Normani-wild-side-lyrics,/Normani-wild-side-lyrics,Wild Side by Normani (Ft. Cardi B),Normani,405385.0,,2.0,complete,0.6538461538461539,False,False,False
2021-11-06,47,Sharing Locations,Meek Mill Featuring Lil Baby & Lil Durk,43.0,22,9,Sharing Locations,Meek Mill Featuring Lil Baby & Lil Durk,,none,sharing locations,meek mill featuring lil baby and lil durk,meek mill featuring lil baby and lil durk,2021,,,,,,,,,,0.0,False,False,False
2021-11-06,48,Gyalis,Capella Grey,46.0,38,13,Gyalis,Capella Grey,,none,gyalis,capella grey,capella grey,2021,6850809.0,https://genius.com/Capella-grey-gyalis-lyrics,/Capella-grey-gyalis-lyrics,Gyalis by Capella Grey,Capella Grey,85447.0,,4.0,complete,1.0,False,False,False
2021-11-06,49,I Was On A Boat That Day,Old Dominion,42.0,37,17,I Was On A Boat That Day,Old Dominion,,none,i was on a boat that day,old dominion,old dominion,2021,6822755.0,https://genius.com/Old-dominion-i-was-on-a-boat-that-day-lyrics,/Old-dominion-i-was-on-a-boat-that-day-lyrics,I Was On a Boat That Day by Old Dominion,Old Dominion,10673.0,,2.0,complete,1.0,False,False,False
2021-11-06,50,Family Ties,Baby Keem & Kendrick Lamar,52.0,18,9,Family Ties,Baby Keem & Kendrick Lamar,,none,family ties,baby keem and kendrick lamar,baby keem and kendrick lamar,2021,10961617.0,https://genius.com/Why-att-usa-family-meals-parody-of-family-ties-by-baby-keem-and-kendrick-lamar-lyrics,/Why-att-usa-family-meals-parody-of-family-ties-by-baby-keem-and-kendrick-lamar-lyrics,"Family Meals [Parody of ""family ties"" by Baby Keem and Kendrick Lamar] by Why-att (USA)",Why-att (USA),,,0.0,complete,0.6779661016949152,False,True,False
2021-11-06,51,Have Mercy,Chloe,53.0,28,7,Have Mercy,Chloe,,none,have mercy,chloe,chloe,2021,6966100.0,https://genius.com/Chloe-have-mercy-lyrics,/Chloe-have-mercy-lyrics,Have Mercy by Chlöe,Chlöe,621854.0,,10.0,complete,1.0,False,False,False
2021-11-06,52,Fair Trade,Drake Featuring Travis Scott,48.0,3,8,Fair Trade,Drake Featuring Travis Scott,,none,fair trade,drake featuring travis scott,drake featuring travis scott,2021,,,,,,,,,,0.0,False,False,False
2021-11-06,53,Same Boat,Zac Brown Band,55.0,53,6,Same Boat,Zac Brown Band,,none,same boat,zac brown band,zac brown band,2021,6898249.0,https://genius.com/Zac-brown-band-same-boat-lyrics,/Zac-brown-band-same-boat-lyrics,Same Boat by Zac Brown Band,Zac Brown Band,5046.0,,0.0,complete,1.0,False,False,False
2021-11-06,54,My Boy,Elvie Shane,37.0,28,18,My Boy,Elvie Shane,,none,my boy,elvie shane,elvie shane,2021,5687251.0,https://genius.com/Elvie-shane-my-boy-lyrics,/Elvie-shane-my-boy-lyrics,My Boy by Elvie Shane,Elvie Shane,77325.0,,2.0,complete,1.0,False,False,False
2021-11-06,55,Hurricane,Kanye West,58.0,6,9,Hurricane,Kanye West,,none,hurricane,kanye west,kanye west,2021,7021481.0,https://genius.com/Kanye-west-and-the-weeknd-hurricane-lyrics,/Kanye-west-and-the-weeknd-hurricane-lyrics,Hurricane by Kanye West & The Weeknd (Ft. Lil Baby),Kanye West,1672555.0,,22.0,complete,1.0,False,False,False
2021-11-06,56,Chosen,Blxst & Tyga Featuring Ty Dolla $ign,63.0,56,5,Chosen,Blxst & Tyga Featuring Ty Dolla $ign,,none,chosen,blxst and tyga featuring ty dolla $ign,blxst and tyga featuring ty dolla $ign,2021,,,,,,,,,,0.0,False,False,False
2021-11-06,57,Baddest,"Yung Bleu, Chris Brown & 2 Chainz",59.0,56,13,Baddest,"Yung Bleu, Chris Brown & 2 Chainz",,none,baddest,"yung bleu, chris brown and 2 chainz","yung bleu, chris brown and 2 chainz",2021,,,,,,,,,,0.0,False,False,False
2021-11-06,58,Knowing You,Kenny Chesney,64.0,58,11,Knowing You,Kenny Chesney,,none,knowing you,kenny chesney,kenny chesney,2021,5427898.0,https://genius.com/Kenny-chesney-knowing-you-lyrics,/Kenny-chesney-knowing-you-lyrics,Knowing You by Kenny Chesney,Kenny Chesney,17509.0,,0.0,complete,1.0,False,False,False
2021-11-06,59,Memory,Kane Brown X blackbear,62.0,50,16,Memory,Kane Brown X blackbear,,none,memory,kane brown x blackbear,kane brown x blackbear,2021,,,,,,,,,,0.0,False,False,False
2021-11-06,60,Cold Beer Calling My Name,Jameson Rodgers Featuring Luke Combs,54.0,26,17,Cold Beer Calling My Name,Jameson Rodgers Featuring Luke Combs,,none,cold beer calling my name,jameson rodgers featuring luke combs,jameson rodgers featuring luke combs,2021,5459058.0,https://genius.com/Jameson-rodgers-cold-beer-calling-my-name-lyrics,/Jameson-rodgers-cold-beer-calling-my-name-lyrics,Cold Beer Calling My Name by Jameson Rodgers (Ft. Luke Combs),Jameson Rodgers,7828.0,,0.0,complete,0.7961165048543689,False,False,False
2021-11-06,61,Not In The Mood,"Lil Tjay, Fivio Foreign & Kay Flock",0.0,61,1,Not In The Mood,"Lil Tjay, Fivio Foreign & Kay Flock",,none,not in the mood,"lil tjay, fivio foreign and kay flock","lil tjay, fivio foreign and kay flock",2021,,,,,,,,,,0.0,False,False,False
2021-11-06,62,Pissed Me Off,Lil Durk,39.0,39,2,Pissed Me Off,Lil Durk,,none,pissed me off,lil durk,lil durk,2021,7268317.0,https://genius.com/Lil-durk-pissed-me-off-lyrics,/Lil-durk-pissed-me-off-lyrics,Pissed Me Off by Lil Durk,Lil Durk,111447.0,,4.0,complete,1.0,False,False,False
2021-11-06,63,Woman,Doja Cat,65.0,62,13,Woman,Doja Cat,,none,woman,doja cat,doja cat,2021,6897815.0,https://genius.com/Doja-cat-woman-lyrics,/Doja-cat-woman-lyrics,Woman by Doja Cat,Doja Cat,898054.0,,8.0,complete,1.0,False,False,False
2021-11-06,64,Sand In My Boots,Morgan Wallen,74.0,32,15,Sand In My Boots,Morgan Wallen,,none,sand in my boots,morgan wallen,morgan wallen,2021,6160128.0,https://genius.com/Morgan-wallen-sand-in-my-boots-lyrics,/Morgan-wallen-sand-in-my-boots-lyrics,Sand in My Boots by Morgan Wallen,Morgan Wallen,137365.0,,12.0,complete,1.0,False,False,False
2021-11-06,65,'Til You Can't,Cody Johnson,76.0,65,3,'Til You Can't,Cody Johnson,,none,'til you can't,cody johnson,cody johnson,2021,6900142.0,https://genius.com/Cody-johnson-til-you-cant-lyrics,/Cody-johnson-til-you-cant-lyrics,'Til You Can't by Cody Johnson,Cody Johnson,50067.0,,1.0,complete,0.9803921568627451,False,False,False
2021-11-06,66,Love Again,Dua Lipa,61.0,41,15,Love Again,Dua Lipa,,none,love again,dua lipa,dua lipa,2021,4790944.0,https://genius.com/Dua-lipa-love-again-lyrics,/Dua-lipa-love-again-lyrics,Love Again by Dua Lipa,Dua Lipa,378471.0,,6.0,complete,1.0,False,False,False
2021-11-06,67,Whiskey And Rain,Michael Ray,81.0,67,4,Whiskey And Rain,Michael Ray,,none,whiskey and rain,michael ray,michael ray,2021,5996637.0,https://genius.com/Michael-ray-whiskey-and-rain-lyrics,/Michael-ray-whiskey-and-rain-lyrics,Whiskey And Rain by Michael Ray,Michael Ray,6565.0,,1.0,complete,1.0,False,False,False
2021-11-06,68,One Mississippi,Kane Brown,80.0,68,5,One Mississippi,Kane Brown,,none,one mississippi,kane brown,kane brown,2021,7104064.0,https://genius.com/Kane-brown-one-mississippi-lyrics,/Kane-brown-one-mississippi-lyrics,One Mississippi by Kane Brown,Kane Brown,15784.0,,3.0,complete,1.0,False,True,False
2021-11-06,69,Switches & Dracs,Moneybagg Yo Featuring Lil Durk & EST Gee,0.0,69,1,Switches & Dracs,Moneybagg Yo Featuring Lil Durk & EST Gee,,none,switches and dracs,moneybagg yo featuring lil durk and est gee,moneybagg yo featuring lil durk and est gee,2021,,,,,,,,,,0.0,False,False,False
2021-11-06,70,Jugaste y Sufri,Eslabon Armado Featuring DannyLux,77.0,69,4,Jugaste y Sufri,Eslabon Armado Featuring DannyLux,,none,jugaste y sufri,eslabon armado featuring dannylux,eslabon armado featuring dannylux,2021,6138671.0,https://genius.com/Eslabon-armado-jugaste-y-sufri-lyrics,/Eslabon-armado-jugaste-y-sufri-lyrics,Jugaste y Sufrí by Eslabon Armado (Ft. DannyLux),Eslabon Armado,315314.0,,6.0,complete,0.759493670886076,True,True,False
2021-11-06,71,Too Easy,Gunna & Future,71.0,38,5,Too Easy,Gunna & Future,,none,too easy,gunna and future,gunna and future,2021,6933778.0,https://genius.com/Gunna-and-future-too-easy-lyrics,/Gunna-and-future-too-easy-lyrics,​too easy by Gunna & Future,Gunna,156612.0,,16.0,complete,0.717948717948718,False,False,False
2021-11-06,72,Esta Danada,Ivan Cornejo,66.0,61,4,Esta Danada,Ivan Cornejo,,none,esta danada,ivan cornejo,ivan cornejo,2021,7287250.0,https://genius.com/Ivan-cornejo-esta-danada-lyrics,/Ivan-cornejo-esta-danada-lyrics,Está Dañada by Ivan Cornejo,Ivan Cornejo,130537.0,,2.0,complete,1.0,True,False,False
2021-11-06,73,Volvi,Aventura x Bad Bunny,75.0,22,13,Volvi,Aventura x Bad Bunny,,none,volvi,aventura x bad bunny,aventura x bad bunny,2021,,,,,,,,,,0.0,False,False,False
2021-11-06,74,Tequila Little Time,Jon Pardi,83.0,74,3,Tequila Little Time,Jon Pardi,,none,tequila little time,jon pardi,jon pardi,2021,4591930.0,https://genius.com/Jon-pardi-tequila-little-time-lyrics,/Jon-pardi-tequila-little-time-lyrics,Tequila Little Time by Jon Pardi,Jon Pardi,11914.0,,7.0,complete,1.0,False,True,False
2021-11-06,75,Whole Lotta Money,BIA Featuring Nicki Minaj,70.0,16,16,Whole Lotta Money,BIA Featuring Nicki Minaj,,none,whole lotta money,bia featuring nicki minaj,bia featuring nicki minaj,2021,6988726.0,https://genius.com/Bia-and-nicki-minaj-whole-lotta-money-remix-lyrics,/Bia-and-nicki-minaj-whole-lotta-money-remix-lyrics,WHOLE LOTTA MONEY (Remix) by BIA & Nicki Minaj,BIA,498566.0,,17.0,complete,0.6,False,True,False
2021-11-06,76,2055,Sleepy Hallow,72.0,51,15,2055,Sleepy Hallow,,none,2055,sleepy hallow,sleepy hallow,2021,5872304.0,https://genius.com/Sleepy-hallow-2055-lyrics,/Sleepy-hallow-2055-lyrics,2055 by Sleepy Hallow,Sleepy Hallow,181850.0,,10.0,complete,1.0,False,False,False
2021-11-06,77,Maybach,42 Dugg Featuring Future,85.0,68,5,Maybach,42 Dugg Featuring Future,,none,maybach,42 dugg featuring future,42 dugg featuring future,2021,,,,,,,,,,0.0,False,False,False
2021-11-06,78,WFM,Realestk,67.0,67,3,WFM,Realestk,,none,wfm,realestk,realestk,2021,7262074.0,https://genius.com/Realestk-wfm-lyrics,/Realestk-wfm-lyrics,WFM by RealestK,RealestK,95254.0,,3.0,complete,1.0,False,False,False
2021-11-06,79,Poke It Out,Wale Featuring J. Cole,0.0,79,1,Poke It Out,Wale Featuring J. Cole,,none,poke it out,wale featuring j. cole,wale featuring j. cole,2021,7246530.0,https://genius.com/Wale-poke-it-out-lyrics,/Wale-poke-it-out-lyrics,Poke It Out by Wale (Ft. J. Cole),Wale,53210.0,,10.0,complete,0.6530612244897959,False,False,False
2021-11-06,80,Praise God,Kanye West,89.0,20,5,Praise God,Kanye West,,none,praise god,kanye west,kanye west,2021,5780838.0,https://genius.com/Kanye-west-praise-god-lyrics,/Kanye-west-praise-god-lyrics,Praise God by Kanye West (Ft. Baby Keem & Travis Scott),Kanye West,1793144.0,,16.0,complete,1.0,False,False,False
2021-11-06,81,Lo Siento BB:/,"Tainy, Bad Bunny & Julieta Venegas",73.0,51,3,Lo Siento BB:/,"Tainy, Bad Bunny & Julieta Venegas",,none,lo siento bb,"tainy, bad bunny and julieta venegas","tainy, bad bunny and julieta venegas",2021,,,,,,,,,,0.0,False,False,False
2021-11-06,82,Freedom Was A Highway,Jimmie Allen & Brad Paisley,84.0,82,3,Freedom Was A Highway,Jimmie Allen & Brad Paisley,,none,freedom was a highway,jimmie allen and brad paisley,jimmie allen and brad paisley,2021,5747865.0,https://genius.com/Jimmie-allen-and-brad-paisley-freedom-was-a-highway-lyrics,/Jimmie-allen-and-brad-paisley-freedom-was-a-highway-lyrics,Freedom Was A Highway by Jimmie Allen & Brad Paisley,Jimmie Allen,6808.0,,0.0,complete,0.8,False,False,False
